player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Travis Kelce,TE,KC,2016,7,7,7,8,NA,3,3,10,7,6,9,15,8,8,5,12,2,117,7.3
Ross Travis,TE,KC,2016,1,0,2,1,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,6,1
James O'Shaughnessy,TE,KC,2016,0,0,0,0,NA,0,0,0,1,0,0,1,0,0,1,0,0,3,0.2
Melvin Gordon III,RB,LAC,2016,0,3,7,7,1,2,7,7,4,8,NA,4,6,1,NA,NA,NA,57,4.4
Tyrell Williams,WR,LAC,2016,5,6,9,8,6,3,10,6,7,11,NA,14,4,5,9,9,7,119,7.4
Travis Benjamin,WR,LAC,2016,8,6,7,7,11,5,5,9,1,NA,NA,2,4,3,3,4,NA,75,5.4
Hunter Henry,TE,LAC,2016,2,0,5,7,4,8,3,4,NA,2,NA,3,1,5,4,0,5,53,3.5
Keenan Allen,WR,LAC,2016,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7
Dontrelle Inman,WR,LAC,2016,3,3,4,11,3,1,6,7,9,9,NA,6,5,7,8,10,5,97,6.1
Derek Watt,RB,SD,2016,0,0,1,0,0,1,0,1,0,0,NA,0,0,0,0,1,0,4,0.3
Anthony Sherman,RB,KC,2016,0,0,1,0,NA,1,1,0,1,0,0,0,0,0,1,0,1,6,0.4
Demarcus Robinson,WR,KC,2016,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Winchester,TE,KC,2016,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ervin,RB,HOU,2016,2,0,0,0,0,2,1,0,NA,0,0,NA,NA,NA,NA,0,0,5,0.4
Lamar Miller,RB,HOU,2016,4,2,5,3,3,4,4,3,NA,0,3,4,1,1,2,NA,NA,39,2.8
Ryan Griffin,TE,HOU,2016,2,2,10,5,6,5,5,3,NA,4,5,5,6,2,8,2,4,74,4.6
Stephen Anderson,TE,HOU,2016,3,3,1,NA,NA,NA,0,2,NA,1,1,1,0,0,3,0,1,16,1.2
DeAndre Hopkins,WR,HOU,2016,8,11,8,6,9,15,12,7,NA,13,6,10,8,4,17,6,11,151,9.4
William Fuller V,WR,HOU,2016,11,7,7,9,6,NA,7,4,NA,NA,4,6,6,4,8,6,7,92,6.6
Logan Paulsen,TE,CHI,2016,1,0,0,3,1,0,0,2,NA,1,1,1,0,0,0,0,0,10,0.6
Alshon Jeffery,WR,CHI,2016,6,7,7,5,6,13,11,8,NA,9,NA,NA,NA,NA,9,10,3,94,7.8
Kevin White,WR,CHI,2016,7,6,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,9
Derrick Henry,RB,TEN,2016,2,1,0,0,0,2,1,5,NA,0,0,0,NA,1,0,2,1,15,1
Tajae Sharpe,WR,TEN,2016,11,7,7,7,4,3,6,1,8,4,7,3,NA,1,4,8,2,83,5.2
Cordarrelle Patterson,RB,MIN,2016,1,0,1,6,6,NA,7,3,8,4,8,5,3,4,8,4,2,70,4.4
Jerick McKinnon,RB,MIN,2016,2,1,2,5,3,NA,1,NA,0,4,1,3,6,6,9,6,4,53,3.5
Stefon Diggs,WR,MIN,2016,9,11,7,7,NA,NA,5,13,14,15,7,NA,8,5,5,6,NA,112,8.6
Adrian Peterson,RB,MIN,2016,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,2
Kyle Rudolph,TE,MIN,2016,8,8,10,7,4,NA,11,6,3,8,3,10,12,8,10,9,15,132,8.3
Adam Thielen,WR,MIN,2016,5,5,4,3,8,NA,5,5,6,4,5,11,9,5,1,15,1,92,5.8
Beau Brinkley,TE,TEN,2016,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
Giovani Bernard,RB,CIN,2016,4,11,5,4,6,5,2,1,NA,5,8,NA,NA,NA,NA,NA,NA,51,5.1
A.J. Green,WR,CIN,2016,13,8,11,12,8,10,8,18,NA,11,1,NA,NA,NA,NA,NA,NA,100,10
Tyler Boyd,WR,CIN,2016,3,8,4,3,5,5,3,7,NA,4,8,9,6,6,3,4,3,81,5.1
C.J. Uzomah,TE,CIN,2016,5,8,4,5,5,2,0,NA,NA,0,NA,NA,NA,NA,NA,6,3,38,3.8
Alex Erickson,WR,CIN,2016,0,1,0,0,0,0,0,0,NA,0,2,1,1,2,0,1,0,8,0.5
Robbie Anderson,WR,NYJ,2016,0,0,2,6,2,6,3,6,6,6,NA,2,12,11,6,3,7,78,4.9
Rex Burkhead,RB,CIN,2016,0,0,0,0,0,0,1,0,NA,0,1,2,5,2,3,4,2,20,1.3
Clark Harris,TE,CIN,2016,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0
Tyler Kroft,TE,CIN,2016,0,4,0,0,3,2,1,1,NA,1,0,0,0,0,0,NA,NA,12,0.9
C.J. Prosise,RB,SEA,2016,1,NA,NA,NA,NA,NA,3,4,1,7,3,NA,NA,NA,NA,NA,NA,19,3.2
Luke Willson,TE,SEA,2016,4,1,3,3,NA,1,NA,NA,NA,NA,1,1,NA,1,3,0,3,21,1.9
Jimmy Graham,TE,SEA,2016,1,4,9,8,NA,9,10,5,8,4,5,7,9,4,2,3,7,95,5.9
Tyler Lockett,WR,SEA,2016,8,4,0,3,NA,5,2,4,2,6,3,6,6,6,8,3,NA,66,4.4
Jermaine Kearse,WR,SEA,2016,7,6,2,3,NA,5,4,7,4,7,6,5,9,6,2,9,7,89,5.6
Paul Richardson Jr.,WR,SEA,2016,2,6,0,1,NA,0,2,3,1,3,3,3,NA,0,0,5,7,36,2.4
Damien Williams,RB,MIA,2016,2,NA,3,2,2,2,1,NA,3,1,1,2,2,3,0,3,5,32,2.1
Jarvis Landry,WR,MIA,2016,10,13,12,10,3,9,8,NA,6,6,5,7,14,6,4,6,12,131,8.2
Kenny Stills,WR,MIA,2016,5,4,8,3,1,3,8,NA,1,3,9,6,5,7,3,8,7,81,5.1
Jakeem Grant Sr.,WR,MIA,2016,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,0.1
Kenyan Drake,RB,MIA,2016,0,2,2,0,3,0,0,NA,1,0,0,0,1,1,0,0,0,10,0.6
Ezekiel Elliott,RB,DAL,2016,2,2,2,1,4,4,NA,4,1,2,5,2,5,2,3,1,NA,40,2.7
Alfred Morris,RB,DAL,2016,1,0,1,0,1,0,NA,0,0,1,0,0,0,0,NA,NA,2,6,0.4
Keith Smith,RB,DAL,2016,0,1,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,3,0.2
Cole Beasley,WR,DAL,2016,12,6,7,4,4,6,NA,7,6,9,6,6,4,7,5,5,4,98,6.1
Geoff Swaim,TE,DAL,2016,1,2,1,0,1,0,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,8,0.9
Dez Bryant,WR,DAL,2016,5,12,6,NA,NA,NA,NA,14,4,9,8,7,6,9,10,5,1,96,7.4
Jason Witten,TE,DAL,2016,14,4,2,9,5,8,NA,3,10,8,7,3,0,7,10,4,1,95,5.9
Odell Beckham Jr.,WR,NYG,2016,8,11,11,9,12,10,9,NA,10,11,7,11,16,9,8,20,7,169,10.6
Sterling Shepard,WR,NYG,2016,4,8,7,7,7,8,7,NA,6,7,11,0,8,4,5,11,5,105,6.6
Dwayne Harris,WR,NYG,2016,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0.1
