player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,ttl,avg
Michael Thomas,WR,NO,2020,5,NA,NA,NA,NA,NA,NA,NA,6,7,12,6,11,8,NA,NA,NA,55,7.9
Jared Cook,TE,NO,2020,7,5,3,NA,3,NA,4,7,3,2,1,2,5,4,5,4,5,60,4
Bennie Fowler III,WR,NO,2020,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.2
Justin Hardee,WR,NO,2020,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0
Leonard Fournette,RB,TB,2020,1,5,2,NA,0,NA,7,6,6,3,4,3,NA,NA,5,3,2,47,3.6
Scotty Miller,WR,TB,2020,6,3,5,7,0,2,9,6,3,1,0,1,NA,2,3,2,3,53,3.3
Ronald Jones II,RB,TB,2020,3,2,4,9,5,2,2,4,4,2,1,2,NA,2,NA,NA,0,42,3
Cameron Brate,TE,TB,2020,1,0,0,1,6,1,1,2,0,3,4,6,NA,1,4,2,2,34,2.1
Justin Watson,WR,TB,2020,2,3,NA,6,NA,0,0,0,NA,0,0,0,NA,0,NA,NA,0,11,1
O.J. Howard,TE,TB,2020,6,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4.8
Rob Gronkowski,TE,TB,2020,3,1,7,3,6,8,8,4,6,3,6,7,NA,2,7,2,4,77,4.8
Mike Evans,WR,TB,2020,4,10,4,8,9,2,2,7,6,11,9,9,NA,5,7,12,4,109,6.8
Chris Godwin,WR,TB,2020,7,NA,6,NA,NA,7,9,NA,6,6,10,9,NA,3,5,9,7,84,7
LeSean McCoy,RB,TB,2020,1,7,4,1,NA,1,NA,NA,NA,0,NA,0,NA,1,3,1,NA,19,1.9
Jaydon Mickens,WR,TB,2020,0,0,0,0,2,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,0,10,1
Kyle Juszczyk,RB,SF,2020,2,2,1,2,1,2,2,2,1,1,NA,2,1,3,2,3,2,29,1.8
Jerick McKinnon,RB,SF,2020,5,1,4,8,4,3,0,4,4,3,NA,3,0,0,2,4,1,46,2.9
Raheem Mostert,RB,SF,2020,5,2,NA,NA,3,2,NA,NA,NA,NA,NA,2,1,4,0,NA,NA,19,2.4
Tevin Coleman,RB,SF,2020,2,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,1,0,5,0.6
George Kittle,TE,SF,2020,5,NA,NA,15,8,10,7,4,NA,NA,NA,NA,NA,NA,NA,5,9,63,7.9
Kendrick Bourne,WR,SF,2020,5,5,6,6,4,3,1,10,NA,5,NA,5,6,7,4,1,6,74,4.9
Trent Taylor,WR,SF,2020,5,3,1,1,0,2,0,5,4,0,NA,0,NA,NA,0,NA,NA,21,1.8
Dante Pettis,WR,NYG,2020,1,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3,2,6,0.9
Jordan Reed,TE,SF,2020,2,8,6,NA,NA,NA,NA,NA,2,6,NA,6,4,5,5,2,NA,46,4.6
Kyle Nelson,TE,SF,2020,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Chase Edmonds,RB,ARI,2020,5,4,2,6,6,2,7,NA,3,3,4,5,5,5,5,3,2,67,4.2
Kenyan Drake,RB,ARI,2020,2,2,1,0,1,2,2,NA,NA,1,5,4,3,1,2,2,3,31,2.1
DeAndre Hopkins,WR,ARI,2020,16,9,12,9,7,8,12,NA,3,12,8,7,13,11,11,12,10,160,10
Christian Kirk,WR,ARI,2020,5,4,NA,5,7,3,8,NA,8,6,6,6,3,4,4,10,NA,79,5.6
Dan Arnold,TE,ARI,2020,2,4,2,4,0,0,3,NA,1,4,2,3,3,4,5,5,3,45,2.8
Larry Fitzgerald,WR,ARI,2020,5,7,3,3,7,4,8,NA,5,5,10,NA,NA,3,4,8,NA,72,5.5
Maxx Williams,TE,ARI,2020,2,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,0,2,1,NA,0,10,1.1
Darrell Daniels,TE,ARI,2020,0,1,2,0,2,1,1,NA,1,0,NA,NA,NA,NA,1,2,0,11,0.9
Robert Woods,WR,LAR,2020,8,5,6,7,5,10,5,8,NA,6,15,12,11,8,7,9,7,129,8.1
Malcolm Brown,RB,LAR,2020,4,0,2,6,2,4,1,2,NA,2,1,2,1,1,1,3,1,33,2.1
Cam Akers,RB,LAR,2020,1,0,NA,NA,0,0,NA,1,NA,0,1,0,1,3,3,NA,4,14,1.2
Darrell Henderson Jr.,RB,LAR,2020,0,3,3,1,4,0,2,2,NA,1,3,1,3,0,1,0,NA,24,1.6
Tyler Higbee,TE,LAR,2020,4,5,2,4,2,4,NA,4,NA,6,4,2,6,2,5,6,4,60,4
Josh Reynolds,WR,LAR,2020,1,2,5,4,4,5,8,9,NA,10,6,6,1,2,2,10,6,81,5.1
Cooper Kupp,WR,LAR,2020,5,6,10,7,8,9,6,20,NA,7,13,5,9,5,5,9,NA,124,8.3
Gerald Everett,TE,LAR,2020,2,0,2,1,4,4,5,9,NA,3,5,2,7,3,5,3,7,62,3.9
Van Jefferson,WR,LAR,2020,3,5,1,1,0,1,1,2,NA,1,1,0,5,0,1,1,8,31,1.9
Nsimba Webster,WR,LAR,2020,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
Xavier Jones,RB,LAR,2020,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0
Tony Pollard,RB,DAL,2020,3,1,1,2,3,4,1,2,2,NA,0,2,1,2,9,2,5,40,2.5
Ezekiel Elliott,RB,DAL,2020,4,7,11,8,2,10,2,2,3,NA,2,3,6,3,NA,4,4,71,4.7
CeeDee Lamb,WR,DAL,2020,6,9,7,7,11,11,5,5,7,NA,6,7,9,2,7,5,7,111,6.9
Amari Cooper,WR,DAL,2020,14,9,12,16,4,10,7,5,6,NA,7,8,9,5,3,6,9,130,8.1
Dalton Schultz,TE,DAL,2020,4,10,6,8,3,5,4,8,7,NA,6,5,4,3,2,4,10,89,5.6
Michael Gallup,WR,DAL,2020,5,5,9,5,4,6,2,12,7,NA,5,8,11,6,4,8,8,105,6.6
Blake Jarwin,TE,DAL,2020,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Cedrick Wilson Jr.,WR,DAL,2020,0,0,7,6,4,3,0,2,3,NA,2,0,0,0,0,0,1,28,1.8
Byron Pringle,WR,KC,2020,0,0,0,NA,1,2,0,4,0,NA,4,NA,NA,NA,0,0,6,17,1.4
Darwin Thompson,RB,KC,2020,0,1,2,NA,0,0,NA,1,0,NA,0,0,0,0,NA,0,7,11,0.8
Buddy Howell,RB,HOU,2020,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,2,0,0,0,2,0.1
Kahale Warring,TE,HOU,2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2,3,0,7,1
Scottie Phillips,RB,HOU,2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0.1
James Winchester,TE,KC,2020,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
Nathan Cottrell,RB,JAC,2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
Jordan Wilkins,RB,IND,2020,0,0,1,1,0,1,NA,1,2,1,1,4,2,2,0,0,NA,16,1.1
Ben Ellefson,TE,JAC,2020,0,0,NA,NA,NA,NA,0,NA,0,0,3,1,NA,NA,NA,NA,NA,4,0.6
Brandon Zylstra,WR,CAR,2020,0,0,0,0,0,0,1,0,1,0,0,0,NA,2,0,0,0,4,0.3
Foster Moreau,TE,LV,2020,0,1,2,1,0,NA,0,1,0,0,0,0,0,2,1,0,1,9,0.6
Zay Jones,WR,LV,2020,0,1,3,7,1,NA,0,0,0,1,1,1,1,0,2,0,2,20,1.3
Taiwan Jones,RB,BUF,2020,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0,1,NA,2,0.2
Daniel Brown,TE,NYJ,2020,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,2,0.1
Trevon Wesco,TE,NYJ,2020,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,2,0.2
Reggie Gilliam,RB,BUF,2020,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,NA,NA,2,0.1
Tyler Kroft,TE,BUF,2020,0,0,5,3,0,2,4,1,1,NA,NA,NA,NA,NA,NA,0,NA,16,1.6
Jaeden Graham,TE,ATL,2020,0,0,0,0,1,0,0,0,0,NA,0,2,1,1,0,0,0,5,0.3
Luke Willson,TE,BAL,2020,0,0,NA,0,0,NA,NA,0,NA,NA,0,2,1,NA,NA,NA,NA,3,0.4
Penny Hart,WR,SEA,2020,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,1,NA,0,0,1,0.1
Jeremy Sprinkle,TE,WAS,2020,0,0,0,0,1,0,1,NA,0,0,0,0,0,1,0,0,0,3,0.2
Marcus Baugh,TE,WAS,2020,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0.1
Cam Sims,WR,WAS,2020,0,0,0,2,0,1,1,NA,4,5,2,0,9,2,8,9,5,48,3
Isaiah Wright,WR,WAS,2020,0,NA,6,5,1,5,NA,NA,3,6,1,0,4,1,2,1,0,35,2.5
J.J. Arcega-Whiteside,WR,PHI,2020,0,2,0,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,3,8,1
Richard Rodgers,TE,PHI,2020,0,0,2,4,1,3,8,0,NA,5,2,6,0,0,0,NA,NA,31,2.2
Mack Hollins,WR,MIA,2020,0,0,0,0,0,0,NA,0,1,1,2,3,1,9,3,4,1,25,1.6
Durham Smythe,TE,MIA,2020,0,0,1,2,NA,2,NA,2,1,2,1,3,2,3,5,2,3,29,1.9
Chandler Cox,RB,MIA,2020,0,0,0,1,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,2,0.3
Devin Asiasi,TE,NE,2020,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,7,0.9
Jakob Johnson,RB,NE,2020,0,1,1,0,NA,0,1,0,2,2,0,0,1,0,1,0,0,9,0.6
Jakobi Meyers,WR,NE,2020,0,1,0,NA,NA,NA,6,10,14,7,3,6,6,5,10,6,7,81,5.8
Adam Shaheen,TE,MIA,2020,0,2,0,1,1,3,NA,1,1,1,0,2,1,3,2,1,3,22,1.4
Andy Janovich,RB,CLE,2020,0,1,1,0,0,0,0,1,NA,0,NA,NA,0,1,0,1,0,5,0.4
Ameer Abdullah,RB,MIN,2020,0,0,0,0,0,1,NA,0,1,0,0,0,1,2,0,1,3,9,0.6
C.J. Ham,RB,MIN,2020,0,0,2,1,2,0,NA,0,0,1,1,0,1,3,0,NA,3,14,0.9
Dan Chisena,WR,MIN,2020,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
Robert Tonyan,TE,GB,2020,0,3,5,6,NA,4,2,7,1,4,5,5,5,5,3,2,2,59,3.7
Malik Taylor,WR,GB,2020,0,0,0,1,NA,1,2,1,0,0,0,0,1,NA,0,0,0,6,0.4
Marcedes Lewis,TE,GB,2020,0,1,2,NA,NA,2,3,0,1,0,1,4,1,1,0,0,1,17,1.1
Tyler Conklin,TE,MIN,2020,0,0,0,0,0,0,NA,0,0,2,0,2,1,5,4,6,6,26,1.6
Ty Johnson,RB,NYJ,2020,0,1,NA,NA,NA,1,0,1,0,NA,6,2,2,0,6,0,2,21,1.6
J.P. Holtz,TE,CHI,2020,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,0.1
Ryan Nall,RB,CHI,2020,0,1,0,0,0,0,NA,1,4,2,NA,1,0,0,0,0,0,9,0.6
Jesse James,TE,DET,2020,0,0,4,2,NA,2,0,1,1,3,2,1,3,0,1,1,1,22,1.4
Auden Tate,WR,CIN,2020,0,NA,4,1,1,NA,1,7,NA,4,2,2,NA,NA,NA,NA,NA,22,2.4
Stephen Anderson,TE,LAC,2020,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0,6,3,11,0.7
Tee Higgins,WR,CIN,2020,0,6,9,7,8,8,5,9,NA,9,10,5,8,8,6,9,1,108,6.8
Clark Harris,TE,CIN,2020,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
KJ Hill Jr.,WR,LAC,2020,0,0,4,0,2,NA,NA,0,0,0,0,0,1,1,3,0,0,11,0.7
Gabe Nabers,RB,LAC,2020,0,0,0,1,0,NA,1,1,1,1,0,0,0,0,1,0,1,7,0.4
Michael Burton,RB,NO,2020,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,1,1,NA,4,0.3
Quinton Bell,WR,TB,2020,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Antony Auclair,TE,TB,2020,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,1,NA,NA,0,1,0.1
Adam Trautman,TE,NO,2020,0,1,2,0,NA,NA,1,0,3,0,1,1,3,1,0,2,1,16,1.1
Richie James Jr.,WR,SF,2020,0,NA,NA,NA,NA,0,0,NA,13,5,NA,1,0,3,7,1,5,35,3.2
Jeff Wilson Jr.,RB,SF,2020,0,0,3,1,1,NA,2,NA,NA,NA,NA,0,5,3,4,2,7,28,2.3
Ross Dwelley,TE,SF,2020,0,1,4,0,0,0,0,4,3,2,NA,2,2,2,2,0,2,24,1.5
Charlie Woerner,TE,SF,2020,0,0,0,0,0,0,0,0,0,0,NA,0,2,1,NA,NA,1,4,0.3
D.J. Foster,RB,ARI,2020,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,0,0,0,1,0.1
Trent Sherfield,WR,ARI,2020,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,6,7,0.5
Andy Isabella,WR,ARI,2020,0,3,4,3,3,2,3,NA,3,1,2,6,5,NA,NA,NA,0,35,2.7
Johnny Mundt,TE,LAR,2020,0,0,0,1,0,0,3,0,NA,0,0,0,0,0,0,0,0,4,0.3
Noah Brown,WR,DAL,2020,0,2,2,4,0,2,0,2,0,NA,1,1,4,0,6,0,0,24,1.5
Malik Turner,WR,DAL,2020,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
Blake Bell,TE,DAL,2020,0,3,1,2,1,1,0,0,2,NA,1,0,1,1,1,1,0,15,0.9
Rico Dowdle,RB,DAL,2020,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
Dion Lewis,RB,NYG,2020,1,5,3,3,4,1,0,3,2,2,NA,3,0,0,2,0,1,30,1.9
Saquon Barkley,RB,NYG,2020,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4.5
Kaden Smith,TE,NYG,2020,2,3,2,1,1,3,0,2,1,2,NA,NA,1,1,1,0,1,21,1.4
Levine Toilolo,TE,NYG,2020,1,0,0,0,0,0,0,2,1,0,NA,0,0,0,1,0,1,6,0.4
Damion Ratley,WR,NYG,2020,1,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2
C.J. Board,WR,NYG,2020,2,3,2,1,0,3,NA,NA,1,0,NA,1,1,0,0,2,0,16,1.1
Sterling Shepard,WR,NYG,2020,6,4,NA,NA,NA,NA,8,10,8,6,NA,8,6,5,7,12,10,90,7.5
Darius Slayton,WR,NYG,2020,9,6,7,7,11,4,3,9,1,7,NA,2,1,8,9,8,4,96,6
Wayne Gallman Jr.,RB,NYG,2020,1,NA,3,0,2,0,5,1,2,2,NA,5,0,4,0,2,0,27,1.8
Evan Engram,TE,NYG,2020,7,8,5,10,2,3,9,10,10,3,NA,9,8,4,7,10,4,109,6.8
Eric Tomlinson,TE,BAL,2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0.1
Chase Claypool,WR,PIT,2020,2,3,4,NA,11,4,1,9,13,10,8,9,4,6,8,6,11,109,6.8
James Conner,RB,PIT,2020,4,2,5,NA,3,1,5,3,2,2,3,NA,NA,0,NA,5,8,43,3.3
Jaylen Samuels,RB,PIT,2020,1,2,0,NA,0,0,0,2,0,0,NA,NA,4,4,1,0,0,14,1
Benny Snell Jr.,RB,PIT,2020,1,1,0,NA,0,1,0,0,0,0,0,4,3,0,4,0,0,14,0.9
Diontae Johnson,WR,PIT,2020,10,13,2,NA,1,NA,15,3,10,11,16,13,12,7,13,14,4,144,9.6
James Washington,WR,PIT,2020,3,5,7,NA,4,7,1,1,2,2,3,3,4,6,3,3,2,56,3.5
Eric Ebron,TE,PIT,2020,2,5,7,NA,6,4,8,5,6,6,7,11,11,5,1,7,NA,91,6.1
JuJu Smith-Schuster,WR,PIT,2020,6,8,5,NA,5,4,14,8,7,13,5,9,10,7,6,13,8,128,8
Vance McDonald,TE,PIT,2020,2,2,3,NA,1,0,2,0,1,NA,NA,0,0,2,0,1,6,20,1.4
Ray-Ray McCloud III,WR,PIT,2020,0,0,0,NA,3,1,2,1,2,2,4,1,3,0,1,0,2,22,1.4
Derek Watt,RB,PIT,2020,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
Melvin Gordon III,RB,DEN,2020,3,3,6,3,NA,NA,4,7,1,2,0,0,2,3,4,0,6,44,2.9
Phillip Lindsay,RB,DEN,2020,1,NA,NA,NA,NA,0,0,3,3,1,0,0,1,2,3,NA,NA,14,1.3
Tim Patrick,WR,DEN,2020,5,5,4,7,NA,8,4,NA,9,6,8,2,4,5,4,4,4,79,5.3
Noah Fant,TE,DEN,2020,6,5,10,6,NA,NA,7,9,3,7,5,2,7,0,11,9,6,93,6.2
Jerry Jeudy,WR,DEN,2020,8,7,9,4,NA,5,4,10,14,8,8,1,4,4,5,15,7,113,7.1
Nick Vannett,TE,DEN,2020,2,2,NA,2,NA,1,3,0,1,0,2,1,2,4,1,0,0,21,1.4
Jake Butt,TE,DEN,2020,2,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.8
Diontae Spencer,WR,DEN,2020,0,0,1,0,NA,1,NA,NA,NA,0,0,NA,NA,0,0,2,2,6,0.5
Derrick Henry,RB,TEN,2020,3,2,3,NA,2,5,2,1,0,2,2,4,1,2,2,0,0,31,1.9
Corey Davis,WR,TEN,2020,8,5,6,NA,NA,NA,10,10,3,6,7,3,12,3,6,2,11,92,6.6
MyCole Pruitt,TE,TEN,2020,1,0,2,NA,NA,NA,0,1,0,NA,NA,NA,2,0,2,0,0,8,0.7
Adam Humphries,WR,TEN,2020,7,6,7,NA,NA,6,3,2,NA,NA,NA,NA,4,NA,NA,NA,NA,35,5
A.J. Brown,WR,TEN,2020,8,NA,NA,NA,9,7,8,7,9,4,7,6,7,9,6,8,11,106,7.6
Jeremy McNichols,RB,TEN,2020,1,0,1,NA,1,3,0,1,0,1,1,1,4,1,1,1,0,17,1.1
Kalif Raymond,WR,TEN,2020,2,0,3,NA,2,4,0,1,0,0,0,1,0,1,NA,1,0,15,1
Jonnu Smith,TE,TEN,2020,7,5,8,NA,7,2,4,2,2,6,6,0,NA,2,5,7,2,65,4.3
Tyrie Cleveland,WR,DEN,2020,1,NA,0,0,NA,0,1,0,1,NA,NA,0,1,NA,NA,NA,5,9,0.9
Anthony Firkser,TE,TEN,2020,2,4,0,NA,5,9,2,3,6,3,5,1,7,1,1,2,2,53,3.3
Royce Freeman,RB,DEN,2020,1,0,2,2,NA,1,2,0,0,2,0,0,0,0,0,2,1,13,0.8
DaeSean Hamilton,WR,DEN,2020,3,3,0,3,NA,2,3,5,2,6,0,1,0,1,0,9,6,44,2.8
Khari Blasingame,RB,TEN,2020,1,0,0,NA,NA,1,0,1,0,1,0,1,0,0,0,0,0,5,0.3
Senorise Perry,RB,TEN,2020,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0
Elijhaa Penny,RB,NYG,2020,0,0,0,0,0,0,0,1,1,0,NA,0,0,0,1,NA,NA,3,0.2
Andrew Beck,TE,DEN,2020,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Cody Hollister,WR,TEN,2020,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
Beau Brinkley,TE,TEN,2020,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cyril Grayson Jr.,WR,TB,2020,NA,1,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Lynn Bowden Jr.,WR,MIA,2020,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,1,4,9,7,3,12,37,3.7
La'Mical Perine,RB,NYJ,2020,NA,0,2,0,0,3,3,2,2,NA,1,NA,NA,NA,NA,2,NA,15,1.5
Kalen Ballage,RB,LAC,2020,NA,2,5,3,NA,NA,NA,NA,3,6,9,NA,4,2,0,3,0,37,3.4
Brandon Aiyuk,WR,SF,2020,NA,3,8,5,6,3,7,10,NA,14,NA,NA,9,16,13,2,NA,96,8
Miles Sanders,RB,PHI,2020,NA,7,8,4,4,2,NA,NA,NA,5,5,3,1,5,2,6,NA,52,4.3
Nick Westbrook-Ikhine,WR,TEN,2020,NA,0,2,NA,1,0,0,0,0,1,1,0,NA,1,0,1,1,8,0.6
Sean McKeon,TE,DAL,2020,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
LeVante Bellamy,RB,DEN,2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0.2
Noah Togiai,TE,IND,2020,NA,0,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0.3
Farrod Green,TE,IND,2020,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Daurice Fountain,WR,IND,2020,NA,0,2,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0.6
Jordan Thomas,TE,NE,2020,NA,0,0,1,NA,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,2,0.3
Cullen Gillaspia,RB,HOU,2020,NA,0,1,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,0.1
C.J. Prosise,RB,HOU,2020,NA,0,0,0,0,0,0,NA,NA,1,2,1,NA,1,NA,NA,NA,5,0.5
Darius Bradwell,RB,LAC,2020,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Marquez Callaway,WR,NO,2020,NA,0,0,1,6,NA,10,NA,2,0,0,0,NA,NA,NA,4,4,27,2.5
Cameron Batson,WR,TEN,2020,NA,2,0,NA,NA,1,NA,NA,1,2,2,0,3,0,1,1,0,13,1.1
Golden Tate,WR,NYG,2020,NA,5,7,6,5,1,2,3,NA,5,NA,9,4,2,3,NA,NA,52,4.3
KJ Hamler,WR,DEN,2020,NA,7,5,0,NA,NA,3,3,10,10,6,0,5,3,4,0,NA,56,4.3
Courtland Sutton,WR,DEN,2020,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
Antonio Gandy-Golden,WR,WAS,2020,NA,1,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,7,1.2
Keke Coutee,WR,HOU,2020,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,3,9,3,7,5,7,40,5
Tanner Hudson,TE,TB,2020,NA,0,0,0,4,0,1,1,0,0,NA,NA,NA,NA,0,1,NA,7,0.6
Ke'Shawn Vaughn,RB,TB,2020,NA,0,NA,3,3,1,0,0,NA,NA,NA,NA,NA,0,1,2,0,10,1
Colin Thompson,TE,CAR,2020,NA,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,2,0.1
Mohamed Sanu Sr.,WR,DET,2020,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,4,2,2,5,4,6,24,2.4
Dare Ogunbowale,RB,JAC,2020,NA,0,0,0,0,0,0,NA,0,2,2,NA,2,1,1,5,7,20,1.4
Qadree Ollison,RB,ATL,2020,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Isaiah Zuber,WR,NE,2020,NA,NA,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.5
Devonta Freeman,RB,NYG,2020,NA,NA,0,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2
JaMycal Hasty,RB,SF,2020,NA,NA,1,0,0,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,8,1
Johnny Holton,WR,NYG,2020,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Lawrence Cager,WR,NYJ,2020,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3
Reggie Bonnafon,RB,CAR,2020,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Tyler Johnson,WR,TB,2020,NA,NA,0,0,6,1,2,2,1,1,0,1,NA,0,1,1,1,17,1.2
Kenjon Barner,RB,TB,2020,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,1,0.2
KeeSean Johnson,WR,ARI,2020,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,1,4,2,3,3,2,23,2.9
Kenny Golladay,WR,DET,2020,NA,NA,7,8,NA,6,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,6.4
Jonathan Ward,RB,ARI,2020,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,0.1
Deante Burton,WR,DAL,2020,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0
DeeJay Dallas,RB,SEA,2020,NA,NA,0,2,0,NA,3,5,2,3,2,0,3,0,0,NA,NA,20,1.7
Darrius Shepherd,WR,GB,2020,NA,NA,1,3,NA,1,1,1,1,NA,0,0,NA,NA,NA,NA,NA,8,1
Dwayne Washington,RB,NO,2020,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,NA,0,0
Deon Yelder,TE,KC,2020,NA,NA,0,1,0,0,0,1,0,NA,0,1,0,0,1,1,6,11,0.8
Dede Westbrook,WR,JAC,2020,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5
Tyler Davis,TE,JAC,2020,NA,NA,0,0,0,2,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,2,0.3
Deontay Burnett,WR,PHI,2020,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2
Mason Schreck,TE,CIN,2020,NA,NA,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,1,0.1
T.J. Yeldon,RB,BUF,2020,NA,NA,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3
Lee Smith,TE,BUF,2020,NA,NA,1,NA,NA,0,NA,0,NA,0,NA,1,1,0,1,2,0,6,0.6
Raymond Calais,RB,LAR,2020,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
