player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,ttl,avg
Jerick McKinnon,RB,KC,2022,4,2,1,1,3,3,3,NA,8,8,1,6,2,9,8,3,NA,NA,62,4.1
Isiah Pacheco,RB,KC,2022,0,0,0,0,0,2,0,NA,1,0,0,1,2,3,1,2,NA,NA,12,0.8
Clyde Edwards-Helaire,RB,KC,2022,3,4,5,2,4,0,1,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,23,2.3
Marquez Valdes-Scantling,WR,KC,2022,4,7,7,5,8,3,4,NA,1,4,4,5,6,3,5,2,NA,NA,68,4.5
Noah Gray,TE,KC,2022,2,3,2,1,2,3,1,NA,3,2,3,2,1,3,3,1,NA,NA,32,2.1
Justin Watson,WR,KC,2022,1,2,1,1,1,1,2,NA,5,1,4,2,1,2,2,4,NA,NA,30,2
Mecole Hardman,WR,KC,2022,6,4,1,1,5,4,4,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4.3
JuJu Smith-Schuster,WR,KC,2022,8,3,8,8,8,5,8,NA,12,4,NA,3,4,11,10,4,NA,NA,96,6.9
Skyy Moore,WR,KC,2022,1,0,0,4,3,3,1,NA,1,1,6,6,0,2,0,1,NA,NA,29,1.9
Jody Fortson,TE,KC,2022,1,1,0,1,NA,NA,2,NA,NA,1,2,3,1,NA,1,NA,NA,NA,13,1.3
Travis Kelce,TE,KC,2022,9,7,8,10,8,10,8,NA,17,7,10,8,6,9,10,8,NA,NA,135,9
Michael Burton,RB,KC,2022,0,1,0,NA,NA,1,0,NA,1,0,0,NA,0,0,0,NA,NA,NA,3,0.3
Ezekiel Elliott,RB,DAL,2022,2,2,1,2,0,1,0,NA,NA,NA,1,1,3,5,2,1,NA,NA,21,1.6
Tony Pollard,RB,DAL,2022,2,7,1,3,0,3,2,1,NA,6,6,2,3,5,5,8,NA,NA,54,3.6
Noah Brown,WR,DAL,2022,9,5,7,6,2,3,7,NA,NA,4,2,0,2,6,9,2,NA,NA,64,4.6
Simi Fehoko,WR,DAL,2022,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3
Dennis Houston,WR,DAL,2022,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3
CeeDee Lamb,WR,DAL,2022,11,11,12,8,8,10,6,7,NA,15,5,11,7,6,7,11,NA,NA,135,9
Dalton Schultz,TE,DAL,2022,9,4,NA,3,1,NA,5,7,NA,8,5,4,6,10,4,4,NA,NA,70,5.4
KaVontae Turpin,WR,DAL,2022,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,0,NA,NA,2,0.1
Rico Dowdle,RB,DAL,2022,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Julio Jones,WR,TB,2022,5,NA,NA,2,NA,NA,NA,4,5,5,NA,4,6,8,NA,2,NA,NA,41,4.6
Rachaad White,RB,TB,2022,2,2,0,5,4,4,2,3,3,0,NA,9,8,5,2,4,NA,NA,53,3.5
Breshad Perriman,WR,TB,2022,3,5,4,NA,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,17,2.4
Jaelon Darden,WR,TB,2022,0,0,1,0,0,0,1,0,0,0,NA,0,0,NA,NA,NA,NA,NA,2,0.2
Leonard Fournette,RB,TB,2022,2,4,6,7,11,6,3,3,7,1,NA,NA,7,7,4,10,NA,NA,78,5.6
Russell Gage,WR,TB,2022,2,6,13,4,6,4,5,NA,NA,NA,NA,NA,1,2,12,6,NA,NA,61,5.5
Chris Godwin,WR,TB,2022,3,NA,NA,10,6,12,13,11,10,8,NA,13,13,9,8,10,NA,NA,126,9.7
Mike Evans,WR,TB,2022,7,4,NA,10,8,4,15,11,11,6,NA,9,4,9,9,8,NA,NA,115,8.2
Cameron Brate,TE,TB,2022,3,2,6,8,NA,3,NA,NA,NA,2,NA,5,NA,4,5,NA,NA,NA,38,4.2
Cade Otton,TE,TB,2022,0,2,NA,4,7,3,5,5,6,3,NA,0,10,5,1,7,NA,NA,58,4.1
Travis Homer,RB,SEA,2022,0,4,0,0,NA,0,NA,1,3,0,NA,3,NA,3,4,0,NA,NA,18,1.5
Rashaad Penny,RB,SEA,2022,3,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
DK Metcalf,WR,SEA,2022,7,6,12,10,8,7,2,10,6,9,NA,15,8,10,9,9,NA,NA,128,8.5
Colby Parkinson,TE,SEA,2022,2,NA,2,3,NA,2,1,1,2,3,NA,NA,1,2,1,4,NA,NA,24,2
Will Dissly,TE,SEA,2022,3,2,3,4,3,1,4,2,4,2,NA,3,2,3,1,1,NA,NA,38,2.5
Noah Fant,TE,SEA,2022,4,2,4,1,5,7,3,2,6,4,NA,3,5,1,6,3,NA,NA,56,3.7
Tyler Lockett,WR,SEA,2022,4,11,11,8,6,5,8,8,5,5,NA,7,12,9,9,NA,NA,NA,108,7.7
Dee Eskridge,WR,SEA,2022,2,1,NA,1,1,3,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,13,1.4
Marquise Goodwin,WR,SEA,2022,2,1,5,0,NA,2,5,5,NA,2,NA,3,2,6,5,4,NA,NA,42,3.2
DeeJay Dallas,RB,SEA,2022,0,0,2,0,1,0,2,0,0,0,NA,2,1,NA,NA,6,NA,NA,14,1.1
Melvin Gordon III,RB,DEN,2022,2,1,6,1,3,0,4,4,NA,6,5,NA,NA,NA,NA,NA,NA,NA,32,3.2
Javonte Williams,RB,DEN,2022,12,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5.5
Eric Saubert,TE,DEN,2022,1,2,1,2,7,NA,1,0,NA,1,2,NA,0,2,2,0,NA,NA,21,1.6
Courtland Sutton,WR,DEN,2022,7,11,10,7,11,3,9,4,NA,11,7,8,1,NA,NA,7,NA,NA,96,7.4
Andrew Beck,TE,DEN,2022,3,0,NA,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,1
Eric Tomlinson,TE,DEN,2022,1,NA,NA,NA,1,1,2,0,NA,1,NA,NA,NA,3,3,NA,NA,NA,12,1.5
Mike Boone,RB,DEN,2022,1,NA,1,3,3,4,0,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,15,1.9
