player,pos,team,season,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,ttl,avg
Antonio Brown,WR,TB,2021,7,3,NA,11,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,NA,62,8.9
Ronald Jones II,RB,TB,2021,0,3,0,0,1,1,0,1,NA,NA,0,0,1,0,2,3,1,NA,13,0.9
Leonard Fournette,RB,TB,2021,7,4,3,5,5,6,4,5,NA,9,6,8,8,7,7,NA,NA,NA,84,6
Chris Godwin,WR,TB,2021,13,5,7,5,11,5,11,12,NA,8,6,5,17,15,7,NA,NA,NA,127,9.1
Rob Gronkowski,TE,TB,2021,8,5,7,NA,NA,NA,NA,1,NA,NA,8,9,8,9,11,2,10,10,88,7.3
Mike Evans,WR,TB,2021,6,9,10,12,8,4,10,4,NA,3,11,6,10,6,1,NA,7,7,114,7.1
Tyler Johnson,WR,TB,2021,1,2,6,2,3,NA,2,6,NA,5,3,1,1,3,7,0,6,7,55,3.4
Giovani Bernard,RB,TB,2021,3,2,10,NA,2,2,3,1,NA,3,1,NA,2,NA,NA,NA,NA,NA,29,2.9
Jaydon Mickens,WR,JAC,2021,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,1,0,0,NA,0,3,0.3
Tony Pollard,RB,DAL,2021,4,3,1,0,4,3,NA,1,2,7,2,4,4,NA,3,3,5,NA,46,3.1
Ezekiel Elliott,RB,DAL,2021,2,2,3,1,3,9,NA,6,3,3,6,8,3,6,4,1,2,3,65,3.8
Michael Gallup,WR,DAL,2021,7,NA,NA,NA,NA,NA,NA,NA,NA,5,10,8,9,9,5,5,4,NA,62,6.9
Blake Jarwin,TE,DAL,2021,3,4,2,3,0,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,2.1
CeeDee Lamb,WR,DAL,2021,15,9,3,5,6,11,NA,8,9,7,4,NA,13,10,9,5,4,2,120,7.5
Dalton Schultz,TE,DAL,2021,6,2,7,8,8,6,NA,7,5,2,8,7,5,3,8,9,10,3,104,6.1
Amari Cooper,WR,DAL,2021,17,5,4,3,6,8,NA,13,5,4,NA,NA,2,7,5,11,7,7,104,6.9
Cedrick Wilson Jr.,WR,DAL,2021,3,2,4,2,1,7,NA,3,5,NA,7,10,NA,2,NA,3,6,6,61,4.4
Corey Clement,RB,DAL,2021,0,NA,0,NA,NA,NA,NA,NA,0,1,0,NA,0,2,0,0,0,4,7,0.6
Sewo Olonilua,RB,DAL,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mekhi Sargent,RB,JAC,2021,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0.2
Derrick Henry,RB,TEN,2021,4,6,3,2,0,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2.5
Jeremy McNichols,RB,TEN,2021,4,3,2,12,2,NA,1,3,3,3,NA,NA,NA,1,3,1,0,NA,38,2.9
Chester Rogers,WR,TEN,2021,6,5,2,6,1,1,NA,1,1,1,6,3,NA,1,4,1,2,2,43,2.7
Nick Westbrook-Ikhine,WR,TEN,2021,2,1,4,8,NA,3,NA,3,1,1,8,6,NA,3,7,3,2,5,57,3.8
Geoff Swaim,TE,TEN,2021,1,2,4,1,1,2,1,5,4,5,NA,1,NA,4,2,3,3,1,40,2.5
Julio Jones,WR,TEN,2021,6,8,4,NA,NA,5,4,NA,4,NA,NA,NA,NA,6,1,1,NA,9,48,4.8
Anthony Firkser,TE,TEN,2021,4,NA,NA,5,4,1,1,2,1,2,7,1,NA,5,2,1,3,4,43,2.9
A.J. Brown,WR,TEN,2021,8,9,2,NA,6,9,9,11,11,4,9,NA,NA,NA,NA,16,5,6,105,8.1
Khari Blasingame,RB,TEN,2021,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,2,0.4
James Conner,RB,ARI,2021,0,0,1,2,1,1,0,0,5,4,6,NA,2,9,2,NA,NA,6,39,2.6
Chase Edmonds,RB,ARI,2021,4,5,8,5,4,4,3,4,0,NA,NA,NA,NA,NA,1,9,6,NA,53,4.4
Demetrius Harris,TE,ARI,2021,3,0,0,0,NA,0,0,0,NA,NA,NA,NA,2,NA,0,1,NA,NA,6,0.6
A.J. Green,WR,ARI,2021,6,6,6,6,2,6,3,8,NA,5,7,NA,1,10,8,3,6,9,92,5.8
Christian Kirk,WR,ARI,2021,5,4,8,1,5,8,5,6,6,8,5,NA,3,6,12,9,9,3,103,6.1
Maxx Williams,TE,ARI,2021,1,7,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3.4
Rondale Moore,WR,ARI,2021,5,8,2,3,6,4,3,4,5,4,11,NA,2,4,3,NA,NA,NA,64,4.6
DeAndre Hopkins,WR,ARI,2021,8,4,6,7,9,4,9,2,NA,NA,NA,NA,2,13,NA,NA,NA,NA,64,6.4
Darrell Daniels,TE,ARI,2021,0,0,0,NA,NA,1,NA,0,2,0,1,NA,NA,NA,NA,NA,0,0,4,0.4
Jonathan Ward,RB,ARI,2021,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,2,0,1,1,4,0.4
David Johnson,RB,HOU,2021,4,2,0,4,6,2,6,1,5,NA,4,3,NA,NA,1,NA,NA,4,42,3.2
Phillip Lindsay,RB,MIA,2021,1,1,0,0,0,2,0,0,0,NA,0,0,NA,NA,NA,0,1,0,5,0.4
Mark Ingram II,RB,NO,2021,1,2,1,0,0,2,3,2,5,7,8,NA,2,NA,2,0,NA,NA,35,2.5
Chris Conley,WR,HOU,2021,2,2,1,1,4,2,NA,2,3,NA,5,NA,4,2,4,3,2,NA,37,2.6
Pharaoh Brown,TE,HOU,2021,5,1,0,2,4,3,3,NA,NA,NA,4,1,5,NA,2,3,1,NA,34,2.6
Danny Amendola,WR,HOU,2021,5,1,NA,NA,NA,NA,5,5,7,NA,1,5,NA,NA,NA,NA,NA,9,38,4.8
Rex Burkhead,RB,HOU,2021,2,NA,1,0,NA,1,0,4,0,NA,0,3,2,4,3,2,6,4,32,2.1
Jordan Akins,TE,HOU,2021,2,2,5,1,2,6,2,5,3,NA,NA,NA,NA,1,3,1,NA,NA,33,2.8
Nico Collins,WR,HOU,2021,3,1,NA,NA,NA,6,5,4,3,NA,2,5,1,10,4,4,5,7,60,4.3
Brandin Cooks,WR,HOU,2021,7,14,11,7,5,13,7,6,14,NA,3,5,6,11,10,NA,11,4,134,8.4
Andre Roberts,WR,LAC,2021,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,2,0.1
Laviska Shenault Jr.,WR,JAC,2021,10,7,4,7,3,10,NA,4,4,8,5,9,5,7,7,NA,3,7,100,6.3
Carlos Hyde,RB,JAC,2021,2,2,0,NA,0,1,NA,8,2,2,1,1,1,2,NA,NA,NA,NA,22,1.8
James Robinson,RB,JAC,2021,6,3,6,2,1,4,NA,2,NA,5,3,4,4,0,6,0,NA,NA,46,3.3
DJ Chark Jr.,WR,JAC,2021,12,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,7.3
Devin Smith,WR,JAC,2021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
James O'Shaughnessy,TE,JAC,2021,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,4,4,NA,NA,34,4.9
Chris Manhertz,TE,JAC,2021,1,1,0,1,NA,1,NA,NA,1,0,NA,2,NA,NA,1,NA,1,NA,9,0.9
Tyron Johnson,WR,LV,2021,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,0,0,5,0.7
Marvin Jones Jr.,WR,JAC,2021,9,11,8,3,6,10,NA,8,5,6,6,7,3,7,4,13,6,8,120,7.1
Jamal Agnew,WR,JAC,2021,0,0,0,1,7,6,NA,12,5,5,3,NA,NA,NA,NA,0,0,NA,39,3.3
Dare Ogunbowale,RB,JAC,2021,0,NA,NA,0,1,0,NA,1,1,NA,NA,1,0,3,2,4,2,6,21,1.6
Ja'Marr Chase,WR,CIN,2021,7,4,5,9,10,6,10,9,13,NA,6,3,8,8,4,10,12,4,128,7.5
Joe Mixon,RB,CIN,2021,4,2,1,2,1,6,0,5,5,NA,0,4,1,2,1,6,8,NA,48,3
Samaje Perine,RB,CIN,2021,1,1,1,1,5,NA,1,2,3,NA,3,1,2,5,2,2,1,NA,31,2.1
Tee Higgins,WR,CIN,2021,5,10,NA,NA,7,6,15,6,8,NA,3,8,14,7,3,13,5,NA,110,7.9
C.J. Uzomah,TE,CIN,2021,2,2,1,6,2,3,3,4,5,NA,3,3,6,6,4,7,6,NA,63,3.9
Tyler Boyd,WR,CIN,2021,4,9,6,11,5,3,7,8,2,NA,8,2,7,5,6,5,6,NA,94,5.9
Mike Thomas,WR,CIN,2021,3,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,3,11,1.6
Ameer Abdullah,RB,CAR,2021,2,1,0,1,0,0,0,5,5,4,0,6,NA,4,4,6,4,11,53,3.1
Alexander Mattison,RB,MIN,2021,1,1,8,0,7,0,NA,2,1,1,1,3,3,1,NA,4,5,1,39,2.4
Dalvin Cook,RB,MIN,2021,7,3,NA,6,NA,2,NA,2,3,5,4,7,NA,3,3,NA,3,1,49,3.8
C.J. Ham,RB,MIN,2021,2,NA,0,0,1,0,NA,3,1,3,0,1,1,NA,1,2,2,1,18,1.2
Chris Herndon IV,TE,MIN,2021,2,NA,NA,NA,0,1,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,7,1.2
Tyler Conklin,TE,MIN,2021,4,4,8,6,3,5,NA,7,7,5,3,3,9,2,3,5,9,4,87,5.1
Adam Thielen,WR,MIN,2021,10,7,9,8,3,13,NA,9,7,7,10,7,2,NA,NA,3,NA,NA,95,7.3
K.J. Osborn,WR,MIN,2021,9,6,2,7,4,7,NA,3,2,1,4,2,7,9,3,7,5,4,82,4.8
Justin Jefferson,WR,MIN,2021,9,10,11,7,8,14,NA,4,5,11,10,9,14,15,10,12,11,7,167,9.8
Dede Westbrook,WR,MIN,2021,1,0,0,1,4,3,NA,NA,1,0,2,0,2,0,NA,0,1,0,15,1
Ihmir Smith-Marsette,WR,MIN,2021,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,3,6,1
Nyheim Hines,RB,IND,2021,8,2,6,2,1,2,3,5,6,4,0,4,4,NA,2,1,4,3,57,3.4
Jonathan Taylor,RB,IND,2021,7,1,1,3,4,2,3,4,2,8,3,5,0,NA,0,2,2,4,51,3
Mike Strachan,WR,IND,2021,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5
Michael Pittman Jr.,WR,IND,2021,4,12,12,8,7,3,4,15,6,5,5,10,8,NA,5,12,6,7,129,7.6
Parris Campbell,WR,IND,2021,3,NA,4,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,3.3
Jack Doyle,TE,IND,2021,4,8,2,1,1,1,1,2,2,5,5,7,1,NA,1,NA,NA,2,43,2.9
Mo Alie-Cox,TE,IND,2021,2,2,2,5,4,3,3,4,1,2,1,2,1,NA,1,4,5,3,45,2.6
Zach Pascal,WR,IND,2021,5,6,7,5,5,1,6,8,7,2,1,7,3,NA,2,NA,2,2,69,4.3
Ashton Dulin,WR,IND,2021,0,2,0,1,2,1,4,4,2,1,0,1,1,NA,0,2,1,NA,22,1.4
Chris Carson,RB,SEA,2021,3,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.5
Rashaad Penny,RB,SEA,2021,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,1,1,2,1,3,0,8,0.8
Freddie Swain,WR,SEA,2021,1,5,2,4,3,3,6,0,NA,3,1,2,3,1,1,2,2,1,40,2.4
Dee Eskridge,WR,SEA,2021,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,1,4,3,3,NA,20,2.5
DeeJay Dallas,RB,SEA,2021,1,0,0,0,2,5,0,0,NA,0,2,5,0,0,4,4,0,0,23,1.4
Gerald Everett,TE,SEA,2021,2,2,5,NA,NA,3,3,2,NA,8,4,9,6,2,4,5,5,3,63,4.2
DK Metcalf,WR,SEA,2021,5,11,9,8,5,7,5,6,NA,8,8,4,8,8,12,5,9,11,129,7.6
Will Dissly,TE,SEA,2021,3,NA,1,2,4,2,NA,0,NA,2,3,2,2,3,1,NA,1,NA,26,2
Tyler Lockett,WR,SEA,2021,5,11,4,5,10,7,3,13,NA,8,5,5,8,9,NA,6,3,5,107,6.7
Travis Homer,RB,SEA,2021,0,2,3,0,1,1,0,1,NA,4,0,NA,5,NA,NA,0,0,3,20,1.4
Penny Hart,WR,SEA,2021,0,NA,2,NA,2,1,1,0,NA,2,1,NA,1,1,NA,0,1,NA,12,1
Matt Breida,RB,BUF,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,1,0,NA,NA,NA,9,1.3
Devin Singletary,RB,BUF,2021,5,3,2,1,2,5,NA,1,8,1,4,1,0,7,1,6,1,2,50,2.9
Isaiah McKenzie,WR,BUF,2021,0,2,0,0,0,1,NA,0,2,3,0,NA,NA,1,2,12,2,1,26,1.7
Dawson Knox,TE,BUF,2021,4,3,5,8,4,3,NA,NA,NA,1,10,3,6,9,5,3,2,5,71,4.7
Cole Beasley,WR,BUF,2021,13,4,13,2,2,9,NA,13,11,2,5,5,3,11,8,NA,6,5,112,7
Gabe Davis,WR,BUF,2021,5,NA,1,1,1,2,NA,5,2,3,4,3,4,8,7,NA,3,14,63,4.2
Emmanuel Sanders,WR,BUF,2021,8,6,6,6,5,8,NA,4,8,2,5,3,6,1,NA,4,NA,NA,72,5.1
Stefon Diggs,WR,BUF,2021,13,8,10,11,5,11,NA,7,8,13,6,9,7,13,7,13,9,14,164,9.6
Najee Harris,RB,PIT,2021,3,5,19,7,5,7,NA,3,3,4,6,5,5,3,5,7,3,4,94,5.5
Chase Claypool,WR,PIT,2021,5,9,15,NA,6,7,NA,5,5,NA,9,8,3,9,2,6,9,7,105,7
Pat Freiermuth,TE,PIT,2021,1,4,5,1,2,7,NA,7,6,9,7,4,4,3,4,NA,6,9,79,4.9
Zach Gentry,TE,PIT,2021,1,NA,NA,1,2,NA,NA,5,NA,NA,NA,2,2,NA,1,4,2,5,25,2.5
Diontae Johnson,WR,PIT,2021,10,12,NA,13,2,13,NA,13,6,13,13,14,11,10,5,9,15,10,169,10.6
JuJu Smith-Schuster,WR,PIT,2021,8,7,4,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,5.6
James Washington,WR,PIT,2021,2,1,5,5,NA,1,NA,1,3,6,3,2,1,6,5,2,1,NA,44,2.9
Eric Ebron,TE,PIT,2021,2,2,3,2,2,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,18,2.3
Ray-Ray McCloud III,WR,PIT,2021,0,0,4,1,2,2,NA,0,1,12,2,NA,4,8,3,8,10,9,66,4.1
Derek Watt,RB,PIT,2021,0,NA,1,0,0,0,NA,NA,1,1,NA,0,0,0,NA,NA,0,NA,3,0.3
Benny Snell Jr.,RB,PIT,2021,0,0,NA,1,1,0,NA,1,0,0,0,0,0,0,0,1,0,0,4,0.3
Kalif Raymond,WR,DET,2021,4,2,10,6,2,7,8,1,NA,6,1,4,2,5,3,5,NA,5,71,4.4
D'Andre Swift,RB,DET,2021,11,5,7,6,6,7,10,5,NA,6,4,3,NA,NA,NA,NA,3,5,78,6
Jamaal Williams,RB,DET,2021,9,3,2,0,2,2,0,NA,NA,NA,0,5,1,NA,NA,0,3,1,28,2.2
Amon-Ra St. Brown,WR,DET,2021,4,5,1,8,8,7,NA,5,NA,6,4,4,12,12,11,11,11,10,119,7.4
Trinity Benson,WR,DET,2021,6,3,1,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,22,3.1
Quintez Cephus,WR,DET,2021,6,7,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,4.4
Darren Fells,TE,DET,2021,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1.7
T.J. Hockenson,TE,DET,2021,11,9,2,8,3,11,9,11,NA,1,8,3,8,NA,NA,NA,NA,NA,84,7
Tyrell Williams,WR,DET,2021,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
Godwin Igwebuike,RB,DET,2021,0,0,NA,NA,0,0,0,3,NA,0,1,1,2,0,2,0,0,1,10,0.7
JaMycal Hasty,RB,SF,2021,1,5,NA,NA,NA,NA,6,2,4,NA,NA,NA,0,3,1,3,1,3,29,2.6
Elijah Mitchell,RB,SF,2021,0,2,NA,NA,2,NA,0,0,5,0,NA,6,3,0,NA,NA,2,0,20,1.7
Raheem Mostert,RB,SF,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
George Kittle,TE,SF,2021,5,4,9,10,NA,NA,NA,NA,8,7,4,2,12,15,6,3,2,7,94,6.7
Trent Sherfield,WR,SF,2021,3,3,NA,2,NA,NA,2,NA,NA,NA,0,1,5,0,1,0,2,1,20,1.7
Deebo Samuel,WR,SF,2021,12,8,10,13,9,NA,11,9,9,5,2,4,NA,1,5,11,6,6,121,7.6
Kyle Juszczyk,RB,SF,2021,1,3,4,4,4,NA,NA,2,2,1,2,2,3,2,1,5,2,NA,38,2.5
Mohamed Sanu Sr.,WR,SF,2021,1,1,6,5,3,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,3
Brandon Aiyuk,WR,SF,2021,0,2,6,3,4,NA,1,7,8,4,7,6,6,10,2,5,6,7,84,4.9
Jaret Patterson,RB,WAS,2021,1,NA,NA,1,0,1,NA,1,NA,0,0,0,0,1,0,0,5,2,12,0.9
Antonio Gibson,RB,WAS,2021,5,2,2,2,2,3,2,3,NA,2,0,7,6,2,7,4,NA,3,52,3.3
J.D. McKissic,RB,WAS,2021,1,6,2,5,4,10,6,8,NA,4,2,5,NA,NA,NA,NA,NA,NA,53,4.8
Logan Thomas,TE,WAS,2021,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,25,5
Adam Humphries,WR,WAS,2021,2,8,4,1,5,2,4,3,NA,1,2,2,5,7,6,6,2,2,62,3.6
Cam Sims,WR,WAS,2021,1,NA,2,0,NA,NA,NA,2,NA,2,2,0,NA,4,1,3,5,1,23,1.9
Dyami Brown,WR,WAS,2021,4,6,2,2,NA,6,NA,NA,NA,NA,NA,NA,1,1,0,2,1,NA,25,2.5
Terry McLaurin,WR,WAS,2021,4,14,7,13,11,8,12,7,NA,8,7,7,5,3,4,6,8,6,130,7.6
DeAndre Carter,WR,WAS,2021,0,0,0,1,8,1,1,6,NA,6,3,5,1,6,3,2,0,1,44,2.6
Austin Ekeler,RB,LAC,2021,0,9,6,5,5,7,NA,10,3,6,7,8,5,4,4,NA,3,12,94,5.9
Justin Jackson,RB,LAC,2021,1,1,0,4,NA,1,NA,0,NA,NA,1,0,2,1,1,9,3,1,25,1.8
Gabe Nabers,RB,LAC,2021,0,0,2,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,0.4
Larry Rountree III,RB,LAC,2021,0,1,1,0,0,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,2,0.2
Jared Cook,TE,LAC,2021,8,5,3,7,3,7,NA,5,4,3,5,5,4,5,7,5,NA,7,83,5.2
Stephen Anderson,TE,LAC,2021,2,2,NA,1,1,2,NA,0,4,0,NA,2,0,1,1,2,1,NA,19,1.4
Jalen Guyton,WR,LAC,2021,5,2,1,2,3,5,NA,2,2,1,2,3,4,3,2,NA,2,9,48,3
Keenan Allen,WR,LAC,2021,13,8,12,11,9,5,NA,11,13,11,13,10,8,NA,10,6,9,8,157,9.8
Joshua Palmer,WR,LAC,2021,1,2,NA,NA,3,4,NA,1,2,4,1,2,1,7,1,6,5,9,49,3.3
KJ Hill Jr.,WR,LAC,2021,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5
Donald Parham Jr.,TE,LAC,2021,1,0,1,3,2,2,NA,0,3,2,5,1,4,2,1,NA,NA,NA,27,1.9
Mike Williams,WR,LAC,2021,12,10,9,4,16,5,NA,5,5,6,6,8,7,6,9,NA,4,17,129,8.1
DJ Moore,WR,CAR,2021,8,11,12,12,7,13,10,8,7,7,7,10,NA,10,11,12,8,10,163,9.6
Christian McCaffrey,RB,CAR,2021,9,6,2,NA,NA,NA,NA,NA,5,10,8,1,NA,NA,NA,NA,NA,NA,41,5.9
Ian Thomas,TE,CAR,2021,2,2,NA,3,5,2,2,1,2,NA,1,3,NA,2,1,1,3,NA,30,2.1
Terrace Marshall Jr.,WR,CAR,2021,6,3,5,3,3,2,NA,NA,1,2,1,NA,NA,NA,1,1,2,NA,30,2.5
Robbie Anderson,WR,CAR,2021,3,6,2,11,7,11,9,1,3,6,6,4,NA,12,8,10,2,9,110,6.5
Chuba Hubbard,RB,CAR,2021,2,1,5,2,6,3,5,2,2,0,NA,1,NA,0,1,1,4,2,37,2.3
Dan Arnold,TE,JAC,2021,3,4,4,2,8,5,NA,10,7,8,0,1,NA,NA,NA,NA,NA,NA,52,4.7
Alex Erickson,WR,CAR,2021,0,0,1,0,0,1,0,0,0,0,0,1,NA,0,0,1,0,0,4,0.2
Tommy Tremble,TE,CAR,2021,0,NA,1,1,4,2,2,4,2,1,2,3,NA,2,4,2,NA,5,35,2.3
Michael Carter,RB,NYJ,2021,2,3,3,3,3,NA,9,14,2,6,1,NA,NA,NA,2,3,1,3,55,3.9
Ty Johnson,RB,NYJ,2021,3,0,5,2,3,NA,7,6,3,8,1,1,4,7,NA,NA,4,1,55,3.7
Tevin Coleman,RB,NYJ,2021,0,0,NA,2,1,NA,NA,NA,NA,3,1,3,4,NA,0,1,NA,1,16,1.5
Tyler Kroft,TE,NYJ,2021,5,2,2,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,2,5,NA,3,25,2.8
Elijah Moore,WR,NYJ,2021,4,8,6,NA,2,NA,6,6,8,6,11,8,12,NA,NA,NA,NA,NA,77,7
Ryan Griffin,TE,NYJ,2021,6,2,1,4,2,NA,2,1,7,2,4,4,2,3,2,NA,NA,NA,42,3
Denzel Mims,WR,NYJ,2021,1,NA,NA,NA,3,NA,2,3,5,NA,NA,NA,1,1,3,2,NA,2,23,2.3
Corey Davis,WR,NYJ,2021,7,5,10,7,7,NA,6,NA,NA,7,7,NA,3,NA,NA,NA,NA,NA,59,6.6
Braxton Berrios,WR,NYJ,2021,7,11,3,1,1,NA,0,2,3,3,1,3,1,10,1,6,12,NA,65,4.1
Jeff Smith,WR,NYJ,2021,1,2,1,NA,NA,NA,NA,1,4,NA,NA,NA,0,NA,NA,1,4,3,17,1.9
Daniel Brown,TE,NYJ,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,2,NA,2,0.7
Justin Hardee,WR,NYJ,2021,0,NA,0,0,0,NA,NA,0,0,NA,0,NA,0,0,NA,NA,0,0,0,0
Cordarrelle Patterson,RB,ATL,2021,2,7,7,6,9,NA,5,5,6,2,NA,3,5,5,2,2,2,1,69,4.3
Mike Davis,RB,ATL,2021,6,7,4,2,5,NA,0,6,2,1,4,4,4,6,1,1,2,3,58,3.4
Keith Smith,RB,ATL,2021,3,1,0,0,0,NA,1,NA,NA,0,1,2,1,NA,NA,0,0,1,10,0.8
Hayden Hurst,TE,ATL,2021,4,1,1,4,5,NA,4,3,3,NA,NA,NA,NA,1,2,2,NA,1,31,2.6
Kyle Pitts,TE,ATL,2021,8,6,3,9,10,NA,8,6,7,7,5,6,7,6,7,6,4,5,110,6.5
Calvin Ridley,WR,ATL,2021,8,10,11,13,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,10.4
Russell Gage,WR,ATL,2021,2,7,NA,NA,NA,NA,6,NA,8,3,8,7,12,6,12,5,5,13,94,7.2
Avery Williams,RB,ATL,2021,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Gainwell,RB,PHI,2021,3,3,4,8,3,2,8,0,0,1,NA,4,5,NA,1,1,0,7,50,3.1
Miles Sanders,RB,PHI,2021,5,2,4,3,5,4,1,NA,NA,NA,1,1,3,NA,2,3,NA,NA,34,2.8
Zach Ertz,TE,ARI,2021,2,2,7,8,6,6,5,4,5,6,9,NA,2,7,11,13,9,10,112,6.6
DeVonta Smith,WR,PHI,2021,8,7,6,10,9,4,9,3,6,6,6,4,4,NA,5,7,6,4,104,6.1
Jalen Reagor,WR,PHI,2021,6,5,8,1,5,3,2,2,1,2,3,7,1,NA,3,4,1,3,57,3.4
Quez Watkins,WR,PHI,2021,3,2,2,7,3,5,4,2,3,6,1,5,3,NA,2,3,4,7,62,3.6
Dallas Goedert,TE,PHI,2021,5,2,4,5,3,NA,5,7,6,2,8,3,6,NA,9,4,7,NA,76,5.1
Boston Scott,RB,PHI,2021,0,NA,2,NA,NA,NA,2,1,0,2,2,3,0,NA,NA,0,4,NA,16,1.5
J.J. Arcega-Whiteside,WR,PHI,2021,0,NA,NA,0,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,0,NA,3,5,0.7
Clyde Edwards-Helaire,RB,KC,2021,3,0,2,3,2,NA,NA,NA,NA,NA,2,NA,3,3,4,1,NA,NA,23,2.3
Darrel Williams,RB,KC,2021,0,0,3,2,5,4,4,6,4,9,3,NA,3,3,1,3,3,4,57,3.4
Blake Bell,TE,KC,2021,1,1,1,NA,1,NA,NA,2,1,0,1,NA,NA,NA,1,1,3,0,13,1.1
Michael Burton,RB,KC,2021,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,2,0,0,NA,3,0.3
Tyreek Hill,WR,KC,2021,15,4,7,12,13,12,9,18,11,10,11,NA,5,4,13,2,10,3,159,9.4
Mecole Hardman,WR,KC,2021,3,8,4,3,12,5,5,7,6,3,3,NA,1,2,4,5,1,11,83,4.9
Demarcus Robinson,WR,KC,2021,2,4,2,NA,2,6,4,1,1,4,0,NA,2,NA,3,2,2,6,41,2.7
Byron Pringle,WR,KC,2021,2,2,6,2,2,3,6,2,NA,5,2,NA,4,1,4,7,4,8,60,3.8
Travis Kelce,TE,KC,2021,7,8,11,6,10,11,12,6,8,10,8,NA,8,4,13,NA,7,5,134,8.4
Marcus Kemp,WR,KC,2021,0,NA,1,0,0,0,1,0,NA,1,NA,NA,1,0,NA,0,1,NA,5,0.4
Nick Chubb,RB,CLE,2021,2,1,0,1,1,NA,NA,1,2,NA,2,4,NA,4,1,4,1,1,25,1.8
Anthony Schwartz,WR,CLE,2021,5,1,1,1,1,3,3,0,1,1,NA,NA,NA,NA,NA,1,2,3,23,1.8
Kareem Hunt,RB,CLE,2021,3,1,7,4,6,3,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,27,3.4
Jarvis Landry,WR,CLE,2021,5,1,NA,NA,NA,NA,8,10,5,5,8,10,NA,10,NA,7,10,8,87,7.3
David Njoku,TE,CLE,2021,5,3,NA,2,7,2,2,3,3,4,4,5,NA,NA,5,2,4,2,53,3.5
