Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1743,Doug Middleton,NYJ,null,null,SS,null,null,null,null,null,null,null
1744,Derrick Nnadi,KC,null,null,DT,null,null,null,null,null,null,null
1745,Dorian O'Daniel,KC,null,null,LB,null,null,null,null,null,null,null
1746,David Onyemata,NO,null,null,DT,null,null,null,null,null,null,null
1747,Damian Parms,CAR,null,null,SS,null,null,null,null,null,null,null
1748,David Parry,NE,null,null,DT,null,null,null,null,null,null,null
1749,Daron Payne,WAS,null,null,DT,null,null,null,null,null,null,null
1750,Denzel Perryman,LAC,null,null,LB,null,null,null,null,null,null,null
1751,Darius Phillips,CIN,null,null,CB,null,null,null,null,null,null,null
1752,Darius Philon,ARI,null,null,DT,null,null,null,null,null,null,null
1753,Dontari Poe,CAR,null,null,DT,null,null,null,null,null,null,null
1754,Damarious Randall,CLE,null,null,CB,null,null,null,null,null,null,null
1755,D.J. Reader,HOU,null,null,DT,null,null,null,null,null,null,null
1756,D.J. Reed,SF,null,null,CB,null,null,null,null,null,null,null
1757,Duke Riley,ATL,null,null,LB,null,null,null,null,null,null,null
1758,Derek Rivers,NE,null,null,DE,null,null,null,null,null,null,null
1759,Darryl Roberts,NYJ,null,null,CB,null,null,null,null,null,null,null
1760,Dominique Rodgers-Cromartie,WAS,null,null,CB,null,null,null,null,null,null,null
1761,Daniel Ross,DAL,null,null,DT,null,null,null,null,null,null,null
1762,Dontavius Russell,JAX,null,null,NT,null,null,null,null,null,null,null
1763,Darnell Savage,GB,null,null,S,null,null,null,null,null,null,null
1764,Deadrin Senat,ATL,null,null,DL,null,null,null,null,null,null,null
1765,Danny Shelton,NE,null,null,NT,null,null,null,null,null,null,null
1766,Darius Slay,DET,null,null,CB,null,null,null,null,null,null,null
1767,Derron Smith,MIN,null,null,SS,null,null,null,null,null,null,null
1768,Dawuane Smoot,JAX,null,null,DL,null,null,null,null,null,null,null
1769,Daniel Sorensen,KC,null,null,S,null,null,null,null,null,null,null
1770,Damion Square,LAC,null,null,DT,null,null,null,null,null,null,null
1771,D.J. Swearinger,ARI,null,null,FS,null,null,null,null,null,null,null
1772,Duke Thomas,MIN,null,null,CB,null,null,null,null,null,null,null
1773,Dymonte Thomas,DEN,null,null,FS,null,null,null,null,null,null,null
1774,Deionte Thompson,ARI,null,null,S,null,null,null,null,null,null,null
1775,Dalvin Tomlinson,NYG,null,null,DL,null,null,null,null,null,null,null
1776,Drue Tranquill,LAC,null,null,LB,null,null,null,null,null,null,null
1777,Danny Trevathan,CHI,null,null,ILB,null,null,null,null,null,null,null
1778,Desmond Trufant,ATL,null,null,CB,null,null,null,null,null,null,null
1779,Josh Shaw,ARI,null,null,SS,null,null,null,null,null,null,null
1780,Jamar Taylor,SEA,null,null,CB,null,null,null,null,null,null,null
1781,Kenny Bigelow,NO,null,null,DT,null,null,null,null,null,null,null
1782,Mark McLaurin,NYG,null,null,LB,null,null,null,null,null,null,null
1783,Nathan Stupar,NYG,null,null,ILB,null,null,null,null,null,null,null
1784,Antonio Hamilton,NYG,null,null,CB,null,null,null,null,null,null,null
1785,Daniel Helm,LAC,null,null,TE,null,null,null,null,null,null,null
1786,Adarius Pickett,LAC,null,null,SS,null,null,null,null,null,null,null
1787,John Atkins,DET,null,null,DT,null,null,null,null,null,null,null
1788,Jon Hilliman,NYG,null,null,RB,null,null,null,null,null,null,null
1789,Matthew Wright,PIT,null,null,K,null,null,null,null,null,null,null
1790,Jon Brown,SF,null,null,K,null,null,null,null,null,null,null
1791,Gerald Willis,BAL,null,null,NT,null,null,null,null,null,null,null
1792,Marvell Tell III,IND,null,null,CB,null,null,null,null,null,null,null
1793,Allen Bailey,ATL,null,null,DE,null,null,null,null,null,null,null
1794,Xavier Woodson-Luster,HOU,null,null,OLB,null,null,null,null,null,null,null
1795,Earl Mitchell,SEA,null,null,DT,null,null,null,null,null,null,null
1796,Damontre Moore,SF,null,null,DE,null,null,null,null,null,null,null
1797,Andrew Williams,JAX,null,null,DT,null,null,null,null,null,null,null
1798,Kurt Coleman,BUF,null,null,FS,null,null,null,null,null,null,null
1799,Brandon Bryant,NYJ,null,null,SS,null,null,null,null,null,null,null
1800,Brad Kaaya,CIN,null,null,QB,null,null,null,null,null,null,null
1801,Daniel Lasco,NO,null,null,RB,null,null,null,null,null,null,null
1802,Duke Williams,BUF,null,null,WR,null,null,null,null,null,null,null
1803,De'Angelo Henderson,MIN,null,null,RB,null,null,null,null,null,null,null
1804,Jaydon Mickens,CAR,null,null,WR,null,null,null,null,null,null,null
1805,Bucky Hodges,NYJ,null,null,TE,null,null,null,null,null,null,null
1806,Austin Traylor,DET,null,null,TE,null,null,null,null,null,null,null
1807,Troy Niklas,TB,null,null,TE,null,null,null,null,null,null,null
1808,Azeez Al-Shaair,SF,null,null,LB,null,null,null,null,null,null,null
1809,Antonio Morrison,GB,null,null,ILB,null,null,null,null,null,null,null
1810,Herb Miller,KC,null,null,CB,null,null,null,null,null,null,null
1811,Jeff Allison,NYJ,null,null,ILB,null,null,null,null,null,null,null
1812,Jesse Aniebonam,HOU,null,null,OLB,null,null,null,null,null,null,null
1813,Jordan Brown,CIN,null,null,DB,null,null,null,null,null,null,null
1814,Justin Coleman,DET,null,null,CB,null,null,null,null,null,null,null
1815,Jordan Dangerfield,PIT,null,null,SS,null,null,null,null,null,null,null
1816,Javien Hamilton,GB,null,null,CB,null,null,null,null,null,null,null
1817,Josh Martin,NO,null,null,OLB,null,null,null,null,null,null,null
1818,Jimmy Moreland,WAS,null,null,CB,null,null,null,null,null,null,null
1819,Jermaine Ponder,PIT,null,null,CB,null,null,null,null,null,null,null
1820,Jordan Thompson,SF,null,null,DT,null,null,null,null,null,null,null
1821,Jojo Tillery,TEN,null,null,FS,null,null,null,null,null,null,null
1822,Jimmie Ward,SF,null,null,DB,null,null,null,null,null,null,null
1823,Kendall Fuller,KC,null,null,CB,null,null,null,null,null,null,null
1824,Kenny Moore II,IND,null,null,CB,null,null,null,null,null,null,null
1825,Ladarius Wiley,TEN,null,null,SS,null,null,null,null,null,null,null
1826,Marcus Allen,PIT,null,null,LB,null,null,null,null,null,null,null
1827,Malik Carney,DET,null,null,OLB,null,null,null,null,null,null,null
1828,Marcus Cooper,NYJ,null,null,CB,null,null,null,null,null,null,null
1829,Mark Fields II,KC,null,null,CB,null,null,null,null,null,null,null
1830,Matt Longacre,ARI,null,null,OLB,null,null,null,null,null,null,null
1831,Nate Meadors,MIN,null,null,S,null,null,null,null,null,null,null
1832,Nickell Robey-Coleman,LAR,null,null,CB,null,null,null,null,null,null,null
1833,Orlando Scandrick,PHI,null,null,CB,null,null,null,null,null,null,null
1834,Barkevious Mingo,SEA,null,null,OLB,null,null,null,null,null,null,null
1835,Porter Gustin,NO,null,null,LB,null,null,null,null,null,null,null
