"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Zach Pascal","WR","PHI","17","31","30","20","0","9","bye","23","20","21","29","9","28","19","","","","","256","21.3"
"Isaiah Hodgins","WR","Multi","0","0","0","0","13","0","0","0","0","43","45","45","53","57","","","","","256","42.7"
"Chigoziem Okonkwo","TE","TEN","10","16","0","13","13","bye","27","24","18","20","30","19","32","33","","","","","255","21.3"
"Melvin Gordon III","RB","DEN","27","23","28","10","41","9","40","34","bye","43","0","0","0","0","","","","","255","28.3"
"Irv Smith Jr.","TE","MIN","19","34","37","46","50","33","bye","34","0","0","0","0","0","0","","","","","253","36.1"
"Hunter Renfrow","WR","LV","48","46","0","0","35","bye","32","46","44","0","0","0","0","0","","","","","251","41.8"
"Isiah Pacheco","RB","KC","16","5","5","17","2","10","19","bye","22","35","26","39","25","29","","","","","250","19.2"
"O.J. Howard","TE","HOU","12","18","18","43","46","bye","0","27","26","33","14","12","0","0","","","","","249","24.9"
"Josh Oliver","TE","BAL","0","0","24","0","23","21","31","38","44","bye","23","44","0","0","","","","","248","31.0"
"Denzel Mims","WR","NYJ","0","0","0","0","0","0","24","44","50","bye","45","18","16","51","","","","","248","35.4"
"Cam Akers","RB","LAR","12","27","24","28","20","0","bye","0","11","10","25","16","46","27","","","","","246","22.4"
"Isaiah Likely","TE","BAL","25","21","20","0","15","13","7","51","52","bye","22","0","19","0","","","","","245","24.5"
"David Sills V","WR","NYG","0","67","45","47","26","23","24","10","bye","0","0","0","0","0","","","","","242","34.6"
"Treylon Burks","WR","TEN","24","25","40","35","0","bye","0","0","0","35","33","38","10","0","","","","","240","30.0"
"Joe Flacco","QB","NYJ","84","70","78","0","0","0","0","0","0","bye","0","0","0","7","","","","","239","59.8"
"Jaylen Warren","RB","PIT","23","17","12","16","38","20","17","22","bye","36","3","0","13","22","","","","","239","19.9"
"Kenneth Gainwell","RB","PHI","23","19","22","22","16","17","bye","14","18","16","11","27","20","12","","","","","237","18.2"
"Peyton Hendershot","TE","DAL","0","0","38","4","37","41","19","21","bye","17","25","20","15","0","","","","","237","23.7"
"Khalil Herbert","RB","CHI","17","8","38","48","14","16","29","22","21","23","0","0","0","bye","","","","","236","23.6"
"Mitchell Wilcox","TE","CIN","0","19","39","32","0","0","26","15","0","bye","0","0","52","53","","","","","236","33.7"
"Alec Ingold","RB","MIA","22","26","12","0","0","26","0","27","0","42","bye","34","25","20","","","","","234","26.0"
"Breece Hall","RB","NYJ","38","19","40","46","41","37","12","0","0","bye","0","0","0","0","","","","","233","33.3"
"Wan'Dale Robinson","WR","NYG","9","0","0","0","0","15","53","45","bye","52","55","0","0","0","","","","","229","38.2"
"Colby Parkinson","TE","SEA","20","0","26","25","0","24","27","23","29","14","bye","0","24","17","","","","","229","22.9"
"Taysom Hill","TE","NO","16","6","0","12","23","15","18","23","17","19","24","28","27","bye","","","","","228","19.0"
"Tom Kennedy","WR","DET","0","0","0","60","35","bye","30","0","41","38","19","4","0","0","","","","","227","32.4"
"Clyde Edwards-Helaire","RB","KC","27","25","25","45","31","28","17","bye","17","4","5","0","0","0","","","","","224","22.4"
"K.J. Hamler","WR","DEN","40","0","19","4","39","33","46","43","bye","0","0","0","0","0","","","","","224","32.0"
"Scotty Miller","WR","TB","0","29","52","0","36","2","8","20","35","14","bye","0","15","11","","","","","222","22.2"
"Trenton Irwin","WR","CIN","0","0","0","0","0","0","0","23","36","bye","46","52","9","56","","","","","222","37.0"
"J.D. McKissic","RB","WAS","31","34","41","38","26","17","12","22","0","0","0","0","0","bye","","","","","221","27.6"
"Alexander Mattison","RB","MIN","14","19","28","27","34","7","bye","17","9","13","16","10","17","10","","","","","221","17.0"
"Mike White","QB","NYJ","0","0","0","0","0","0","0","0","0","bye","0","63","85","67","","","","","215","71.7"
"Marcus Johnson","WR","NYG","0","0","0","0","47","40","61","56","bye","0","0","0","10","0","","","","","214","42.8"
"Chris Myarick","TE","NYG","14","23","21","0","27","0","46","30","bye","16","0","23","8","4","","","","","212","21.2"
"Chris Manhertz","TE","JAC","0","0","0","14","26","36","24","27","37","0","bye","0","15","30","","","","","209","26.1"
"Bailey Zappe","QB","NE","0","0","0","43","60","70","34","0","0","bye","0","0","0","0","","","","","207","51.8"
"Mark Ingram II","RB","NO","20","25","23","29","17","24","20","5","0","0","0","17","25","bye","","","","","205","20.5"
"Rex Burkhead","RB","HOU","50","23","24","18","12","bye","23","10","13","16","0","11","0","5","","","","","205","18.6"
"Chase Edmonds","RB","Multi","38","36","19","18","10","31","18","16","0","15","3","0","0","0","","","","","204","20.4"
"Ray-Ray McCloud","WR","SF","18","18","10","9","18","20","20","30","bye","7","8","7","7","28","","","","","200","15.4"
"Dontrell Hilliard","RB","TEN","12","0","14","17","20","bye","17","16","16","26","12","21","20","9","","","","","200","16.7"
"Justice Hill","RB","BAL","11","21","28","25","0","0","20","16","17","bye","28","14","17","2","","","","","199","18.1"
"Nyheim Hines","RB","Multi","26","15","32","21","3","0","24","21","4","6","10","4","23","10","","","","","199","15.3"
"Michael Bandy","WR","LAC","0","0","0","20","0","5","42","bye","55","49","8","2","17","0","","","","","198","24.8"
"Darren Waller","TE","LV","49","37","51","60","0","bye","0","0","0","0","0","0","0","0","","","","","197","49.3"
"Jameis Winston","QB","NO","61","66","69","0","0","0","0","0","0","0","0","0","0","bye","","","","","196","65.3"
"Colt McCoy","QB","ARI","0","0","0","0","0","0","0","0","0","66","56","0","bye","72","","","","","194","64.7"
"Rashod Bateman","WR","BAL","37","36","37","31","0","0","36","13","0","bye","0","0","0","0","","","","","190","31.7"
"Brevin Jordan","TE","HOU","42","23","0","0","0","bye","30","30","38","0","0","0","24","0","","","","","187","31.2"
"Matt Breida","RB","NYG","13","11","8","9","18","16","18","14","bye","14","15","18","9","23","","","","","186","14.3"
"James Cook","RB","BUF","3","18","11","2","10","10","bye","15","14","13","16","14","32","24","","","","","182","14.0"
"Cole Turner","TE","WAS","0","0","0","0","32","53","27","0","0","0","26","20","24","bye","","","","","182","30.3"
"Cedrick Wilson Jr.","WR","MIA","28","22","0","0","16","0","4","14","13","21","bye","33","9","20","","","","","180","18.0"
"Damiere Byrd","WR","ATL","0","0","0","11","21","0","16","34","29","30","19","0","19","bye","","","","","179","22.4"
"Jelani Woods","TE","IND","0","0","16","15","23","31","19","0","18","0","0","41","15","bye","","","","","178","22.3"
"Damien Harris","RB","NE","22","27","25","26","6","0","9","32","0","bye","15","11","0","0","","","","","173","19.2"
"Rashaad Penny","RB","SEA","38","20","49","48","15","0","0","0","0","0","bye","0","0","0","","","","","170","34.0"
"Joshua Kelley","RB","LAC","18","19","13","14","27","0","0","bye","0","0","0","14","32","32","","","","","169","21.1"
"Deon Jackson","RB","IND","0","2","0","0","46","54","5","2","39","0","13","0","8","bye","","","","","169","21.1"
"Ashton Dulin","WR","IND","32","32","18","19","12","0","0","0","0","0","13","22","20","bye","","","","","168","21.0"
"Eric Tomlinson","TE","DEN","20","0","0","0","35","16","35","18","bye","21","0","0","0","23","","","","","168","24.0"
"Tanner Hudson","TE","NYG","0","27","0","37","0","0","30","47","bye","11","0","14","0","0","","","","","166","27.7"
"Sterling Shepard","WR","NYG","43","64","58","0","0","0","0","0","bye","0","0","0","0","0","","","","","165","55.0"
"Jakob Johnson","RB","LV","8","0","16","0","25","bye","16","0","13","20","22","20","0","23","","","","","163","18.1"
"Breshad Perriman","WR","TB","26","50","47","0","0","2","0","5","24","0","bye","8","0","0","","","","","162","23.1"
"Mike Thomas","WR","CIN","69","0","0","0","45","0","0","24","22","bye","0","0","0","0","","","","","160","40.0"
"Ko Kieft","TE","TB","0","24","11","9","14","18","18","13","17","0","bye","16","15","5","","","","","160","14.5"
"Steven Sims Jr.","WR","PIT","0","0","0","0","3","6","0","11","bye","32","32","24","25","27","","","","","160","20.0"
"Brandon Powell","WR","LAR","3","6","6","6","11","25","bye","3","5","5","20","26","26","14","","","","","156","12.0"
"Kenny Golladay","WR","NYG","46","0","24","27","0","0","0","0","bye","26","33","0","0","0","","","","","156","31.2"
"Dee Eskridge","WR","SEA","5","6","0","19","25","13","30","19","39","0","bye","0","0","0","","","","","156","19.5"
"Khalil Shakir","WR","BUF","0","24","0","16","39","15","bye","17","0","15","0","0","16","12","","","","","154","19.3"
"Lawrence Cager","WR","Multi","10","0","0","0","0","0","0","12","0","45","56","28","0","0","","","","","151","30.2"
"Gunner Olszewski","WR","PIT","9","8","3","9","0","0","10","0","bye","22","31","21","18","20","","","","","151","15.1"
"Travis Homer","RB","SEA","19","22","2","0","0","0","0","14","21","8","bye","13","0","49","","","","","148","18.5"
"Trent Taylor","WR","CIN","14","0","2","2","1","3","13","7","26","bye","10","11","5","52","","","","","146","12.2"
"Brock Purdy","QB","SF","0","0","0","0","1","0","10","0","bye","0","7","0","76","52","","","","","146","29.2"
"Justin Jackson","RB","DET","0","0","0","10","14","bye","12","0","13","17","25","18","16","20","","","","","145","16.1"
"Giovanni Ricci","TE","CAR","12","18","31","24","20","0","10","7","13","8","0","0","bye","0","","","","","143","15.9"
"Javonte Williams","RB","DEN","38","47","33","24","0","0","0","0","bye","0","0","0","0","0","","","","","142","35.5"
"Quintin Morris","TE","BUF","0","28","29","16","38","12","bye","0","0","0","0","18","0","0","","","","","141","23.5"
"James Proche II","WR","BAL","5","0","0","0","18","0","8","48","17","bye","17","14","13","0","","","","","140","17.5"
"Rashid Shaheed","WR","NO","0","0","0","0","0","9","10","15","5","6","28","30","36","bye","","","","","139","17.4"
"Sam Darnold","QB","CAR","0","0","0","0","0","0","0","0","0","0","0","66","bye","72","","","","","138","69.0"
"Malik Willis","QB","TEN","0","17","0","0","0","bye","0","58","51","1","0","0","10","0","","","","","137","27.4"
"Teagan Quitoriano","TE","HOU","0","0","0","0","0","bye","0","0","18","0","37","36","46","0","","","","","137","34.3"
"Michael Thomas","WR","NO","37","52","47","0","0","0","0","0","0","0","0","0","0","bye","","","","","136","45.3"
"MyCole Pruitt","TE","ATL","0","0","0","0","0","16","0","0","18","12","31","32","27","bye","","","","","136","22.7"
"Armani Rogers","TE","WAS","4","0","14","0","5","18","38","22","13","21","0","0","0","bye","","","","","135","16.9"
"Jody Fortson","TE","KC","24","6","8","23","0","0","22","bye","0","7","18","17","10","0","","","","","135","15.0"
"Amari Rodgers","WR","Multi","0","1","3","0","1","24","16","28","19","6","0","0","0","36","","","","","134","14.9"
"Laviska Shenault Jr.","WR","CAR","0","0","11","4","0","0","2","23","3","26","16","28","bye","21","","","","","134","14.9"
"JaMycal Hasty","RB","JAC","0","0","3","3","3","10","4","16","13","14","bye","49","0","18","","","","","133","13.3"
"Deshaun Watson","QB","CLE","0","0","0","0","0","0","0","0","bye","0","0","0","62","71","","","","","133","66.5"
"J.K. Dobbins","RB","BAL","0","0","27","35","26","16","0","0","0","bye","0","0","0","26","","","","","130","26.0"
"Kevin White","WR","NO","0","0","0","0","0","12","21","30","18","31","0","18","0","bye","","","","","130","21.7"
"Marcedes Lewis","TE","GB","0","0","0","0","32","0","0","0","32","37","0","0","28","bye","","","","","129","32.3"
"Chuba Hubbard","RB","CAR","3","2","7","3","0","4","23","0","0","12","23","28","bye","23","","","","","128","12.8"
"Grant Calcaterra","TE","PHI","0","0","17","0","0","0","bye","0","0","0","19","23","28","39","","","","","126","25.2"
"Kyren Williams","RB","LAR","0","0","0","0","0","0","bye","0","0","16","35","38","18","19","","","","","126","25.2"
"Kyle Allen","QB","HOU","0","0","0","0","0","bye","0","0","0","0","0","61","65","0","","","","","126","63.0"
"Tutu Atwell","WR","LAR","7","0","3","0","9","2","bye","0","0","0","7","28","30","39","","","","","125","15.6"
"Sony Michel","RB","LAC","16","9","14","17","2","30","13","bye","11","8","5","0","0","0","","","","","125","12.5"
"Lil'Jordan Humphrey","WR","NE","0","26","54","31","14","0","0","0","0","bye","0","0","0","0","","","","","125","31.3"
"Ameer Abdullah","RB","LV","7","14","0","1","0","bye","7","20","14","15","11","14","12","8","","","","","123","11.2"
"DeeJay Dallas","RB","SEA","3","2","15","3","10","23","19","5","2","0","bye","9","32","0","","","","","123","11.2"
"Boston Scott","RB","PHI","14","15","7","0","0","10","bye","13","5","5","13","10","17","12","","","","","121","11.0"
"Albert Okwuegbunam","TE","DEN","44","38","24","0","15","0","0","0","bye","0","0","0","0","0","","","","","121","30.3"
"Sam Ehlinger","QB","IND","0","0","0","0","0","0","0","58","62","0","0","0","0","bye","","","","","120","60.0"
"Mike Boone","RB","DEN","3","0","14","19","30","21","9","0","bye","0","0","0","12","11","","","","","119","14.9"
"Skylar Thompson","QB","MIA","0","0","0","0","66","24","0","0","0","7","bye","21","1","0","","","","","119","23.8"
"Caleb Huntley","RB","ATL","0","3","0","12","16","20","11","24","13","9","2","3","5","bye","","","","","118","10.7"
"John Wolford","QB","LAR","0","0","0","0","0","0","bye","0","0","55","0","0","63","0","","","","","118","59.0"
"Brandon Johnson","WR","DEN","0","0","0","0","0","0","0","0","bye","0","22","42","0","53","","","","","117","39.0"
"KhaDarel Hodge","WR","ATL","20","12","0","18","20","7","2","0","16","8","6","0","6","bye","","","","","115","11.5"
"Connor Heyward","TE","PIT","1","4","0","0","10","30","5","7","bye","17","4","10","14","11","","","","","113","10.3"
"Gus Edwards","RB","BAL","0","0","0","0","0","0","23","16","0","bye","0","36","17","21","","","","","113","22.6"
"Keith Smith","RB","ATL","0","0","0","15","17","28","0","16","15","6","0","0","15","bye","","","","","112","16.0"
"Zonovan Knight","RB","NYJ","0","0","0","0","0","0","0","0","0","bye","0","30","47","35","","","","","112","37.3"
"Cody Hollister","WR","TEN","8","0","0","0","20","bye","22","32","25","0","0","4","0","0","","","","","111","18.5"
"River Cracraft","WR","MIA","0","16","9","10","14","17","0","0","0","0","bye","25","20","0","","","","","111","15.9"
"Josiah Deguara","TE","GB","15","0","0","11","9","5","0","30","28","0","0","0","10","bye","","","","","108","15.4"
"Dan Arnold","TE","JAC","0","16","0","6","8","0","10","15","24","6","bye","0","8","15","","","","","108","12.0"
"Ty Johnson","RB","NYJ","0","13","0","0","0","0","10","19","7","bye","14","15","28","0","","","","","106","15.1"
"Dyami Brown","WR","WAS","0","0","12","21","20","3","0","0","20","16","0","14","0","bye","","","","","106","15.1"
"N'Keal Harry","WR","CHI","0","0","0","0","0","0","30","50","21","0","0","0","5","bye","","","","","106","26.5"
"Avery Williams","RB","ATL","23","15","4","7","17","7","7","5","3","9","0","7","0","bye","","","","","104","9.5"
"Tyler Davis","TE","GB","15","21","19","21","8","0","11","0","0","0","0","9","0","bye","","","","","104","14.9"
"Craig Reynolds","RB","DET","0","9","13","24","31","bye","20","5","1","0","0","0","0","0","","","","","103","14.7"
"Nick Vannett","TE","Multi","0","0","5","0","0","0","0","37","0","0","0","0","30","28","","","","","100","25.0"
"Tyler Huntley","QB","BAL","0","0","0","0","0","0","0","0","0","bye","0","0","62","38","","","","","100","50.0"
"Darrel Williams","RB","ARI","0","40","14","16","8","0","0","21","0","0","0","0","bye","0","","","","","99","19.8"
"Jamal Agnew","WR","JAC","7","7","12","18","6","5","0","0","1","7","bye","15","9","11","","","","","98","8.9"
"Andrew Beck","TE","DEN","10","21","0","12","19","16","20","0","bye","0","0","0","0","0","","","","","98","16.3"
"Teddy Bridgewater","QB","MIA","0","0","3","39","1","54","0","0","0","0","bye","0","0","0","","","","","97","24.3"
"Tyler Kroft","TE","SF","37","0","0","0","0","0","0","18","bye","0","0","0","23","16","","","","","94","23.5"
"C.J. Ham","RB","MIN","14","0","13","9","0","18","bye","13","0","7","0","0","14","6","","","","","94","11.8"
"Jamison Crowder","WR","BUF","18","19","45","11","0","0","bye","0","0","0","0","0","0","0","","","","","93","23.3"
"Stephen Anderson","TE","ARI","9","19","6","3","0","0","6","0","0","25","10","0","bye","14","","","","","92","11.5"
"Byron Pringle","WR","CHI","10","14","2","0","0","0","0","0","0","20","14","31","0","bye","","","","","91","15.2"
"Ryan Griffin","TE","CHI","31","11","0","0","13","3","11","0","0","13","8","0","0","bye","","","","","90","12.9"
"Brett Rypien","QB","DEN","0","0","0","0","0","0","79","0","bye","0","0","0","0","10","","","","","89","44.5"
"Trevon Wesco","TE","CHI","0","0","0","16","0","0","0","25","18","15","0","13","0","bye","","","","","87","17.4"
"Kadarius Toney","WR","Multi","7","28","0","0","0","0","0","0","9","28","14","0","0","0","","","","","86","17.2"
"Bryce Perkins","QB","LAR","0","0","0","0","0","0","bye","0","0","5","26","54","1","0","","","","","86","21.5"
"Zack Moss","RB","Multi","22","13","16","6","16","0","0","0","0","1","4","1","5","0","","","","","84","9.3"
"Trey Lance","QB","SF","68","16","0","0","0","0","0","0","bye","0","0","0","0","0","","","","","84","42.0"
"Jeff Smith","WR","NYJ","0","10","0","7","12","0","35","13","7","bye","0","0","0","0","","","","","84","14.0"
"Reggie Gilliam","RB","BUF","0","18","20","0","0","21","bye","0","0","0","16","7","0","0","","","","","82","16.4"
"Tim Jones","WR","JAC","0","0","4","26","0","27","9","0","0","0","bye","5","11","0","","","","","82","13.7"
"Charlie Woerner","TE","SF","0","0","0","19","24","16","0","0","bye","0","0","17","0","6","","","","","82","16.4"
"Shane Zylstra","TE","DET","0","0","3","0","0","bye","0","0","16","16","0","0","23","23","","","","","81","16.2"
"Keith Kirkwood","WR","NO","0","0","0","0","30","51","0","0","0","0","0","0","0","bye","","","","","81","40.5"
"Dax Milne","WR","WAS","6","2","5","2","1","6","26","9","10","8","5","0","0","bye","","","","","80","7.3"
"Anthony Schwartz","WR","CLE","23","0","0","0","8","12","0","0","bye","12","8","11","5","0","","","","","79","11.3"
"Jake Kumerow","WR","BUF","0","53","5","0","0","0","bye","7","5","8","0","0","0","0","","","","","78","15.6"
"Tyrie Cleveland","WR","DEN","8","31","0","0","10","0","0","0","bye","27","0","0","0","0","","","","","76","19.0"
"Ross Dwelley","TE","SF","19","28","0","5","4","0","0","19","bye","0","0","0","0","0","","","","","75","15.0"
"Mike Strachan","WR","IND","11","35","0","9","0","19","0","0","0","0","0","0","0","bye","","","","","74","18.5"
"Zander Horvath","RB","LAC","15","8","3","8","10","17","0","bye","0","5","8","0","0","0","","","","","74","9.3"
"Montrell Washington","WR","DEN","0","12","14","3","4","3","3","3","bye","7","6","7","8","4","","","","","74","6.2"
"Samori Toure","WR","GB","0","0","0","0","0","0","19","14","28","0","0","0","12","bye","","","","","73","18.3"
"Dare Ogunbowale","RB","HOU","0","1","0","0","0","bye","8","3","1","4","4","18","14","18","","","","","71","7.9"
"Elijah Mitchell","RB","SF","17","0","0","0","0","0","0","0","bye","25","13","15","0","0","","","","","70","17.5"
"Demetric Felton Jr.","RB","CLE","11","12","0","0","0","0","0","0","bye","0","0","0","38","9","","","","","70","17.5"
"Keaontay Ingram","RB","ARI","0","0","0","0","0","9","20","0","1","5","18","7","bye","9","","","","","69","9.9"
"Bryan Edwards","WR","ATL","35","16","0","0","14","0","0","3","0","0","0","0","0","bye","","","","","68","17.0"
"Phillip Lindsay","RB","IND","0","0","0","0","30","27","0","0","9","0","0","0","0","bye","","","","","66","22.0"
"Raheem Blackshear","RB","CAR","0","0","0","0","0","0","5","7","17","8","11","3","bye","14","","","","","65","9.3"
"Brandon Bolden","RB","LV","16","0","25","5","10","bye","0","0","4","0","3","0","0","1","","","","","64","9.1"
"Kyle Philips","WR","TEN","31","13","0","2","18","bye","0","0","0","0","0","0","0","0","","","","","64","16.0"
"Anthony Firkser","TE","ATL","3","0","9","0","15","0","0","0","0","0","0","22","14","bye","","","","","63","12.6"
"Malcolm Brown","RB","LAR","0","0","0","0","0","16","bye","13","16","0","0","0","0","18","","","","","63","15.8"
"Tony Jones Jr.","RB","Multi","0","34","0","0","0","0","0","0","0","0","0","0","23","5","","","","","62","20.7"
"Velus Jones Jr.","WR","CHI","0","0","0","0","3","12","0","15","0","0","8","12","12","bye","","","","","62","10.3"
"Hassan Haskins","RB","TEN","0","28","4","0","2","bye","4","2","6","2","7","6","0","0","","","","","61","6.8"
"Trestan Ebner","RB","CHI","4","0","15","14","0","0","8","3","0","0","15","0","1","bye","","","","","60","8.6"
"Dennis Houston","WR","DAL","39","21","0","0","0","0","0","0","bye","0","0","0","0","0","","","","","60","30.0"
"Trevor Siemian","QB","CHI","0","0","0","0","0","0","0","3","0","0","0","57","0","bye","","","","","60","30.0"
"Jaelon Darden","WR","TB","10","8","18","6","11","0","4","0","0","0","bye","0","0","0","","","","","57","9.5"
"DeSean Jackson","WR","BAL","0","0","0","0","0","0","0","0","11","bye","0","10","25","11","","","","","57","14.3"
"Jordan Mason","RB","SF","0","0","5","0","1","0","0","0","bye","0","7","9","15","19","","","","","56","9.3"
"Stanley Morgan Jr.","WR","CIN","5","0","6","0","8","0","0","0","10","bye","8","5","6","5","","","","","53","6.6"
"Andy Isabella","WR","ARI","21","0","32","0","0","0","0","0","0","0","0","0","bye","0","","","","","53","26.5"
"KaVontae Turpin","WR","DAL","2","5","8","5","3","2","6","6","bye","2","6","2","5","1","","","","","53","4.1"
"Brycen Hopkins","TE","LAR","0","0","0","0","0","0","bye","0","14","13","0","22","0","4","","","","","53","13.3"
"Gary Brightwell","RB","NYG","0","1","0","3","7","1","0","1","bye","0","7","11","0","21","","","","","52","6.5"
"Chris Conley","WR","Multi","10","0","0","0","0","0","0","0","9","0","0","0","0","32","","","","","51","17.0"
"Isaiah Spiller","RB","LAC","0","0","0","0","0","0","4","bye","13","10","16","8","0","0","","","","","51","10.2"
"Ihmir Smith-Marsette","WR","Multi","0","0","0","6","19","25","0","0","0","0","0","0","0","0","","","","","50","16.7"
"James Mitchell","TE","DET","0","0","0","0","0","bye","0","5","13","15","0","17","0","0","","","","","50","12.5"
"Quintez Cephus","WR","DET","0","6","10","33","0","bye","0","0","0","0","0","0","0","0","","","","","49","16.3"
"Devin Asiasi","TE","CIN","0","0","0","16","0","1","0","0","23","bye","9","0","0","0","","","","","49","12.3"
"Michael Burton","RB","KC","9","7","5","0","0","3","7","bye","5","2","2","0","3","4","","","","","47","4.7"
"Jalen Reagor","WR","MIN","0","10","1","3","3","1","bye","4","2","0","12","2","2","7","","","","","47","4.3"
"Andre Baccellia","WR","ARI","0","19","26","0","0","0","0","0","0","0","0","1","bye","0","","","","","46","15.3"
"Malik Davis","RB","DAL","0","0","0","0","0","0","0","19","bye","11","13","0","3","0","","","","","46","11.5"
"Jalen Tolbert","WR","DAL","0","0","23","0","0","0","0","0","bye","8","13","0","0","0","","","","","44","14.7"
"Kevin Rader","TE","TEN","0","0","0","0","5","bye","14","0","0","13","0","0","10","2","","","","","44","8.8"
"Tylan Wallace","WR","BAL","6","9","0","0","13","13","0","0","0","bye","2","0","0","0","","","","","43","8.6"
"Tyrion Davis-Price","RB","SF","0","30","0","0","0","0","13","0","bye","0","0","0","0","0","","","","","43","21.5"
"Mason Schreck","TE","HOU","0","0","0","19","24","bye","0","0","0","0","0","0","0","0","","","","","43","21.5"
"Kevin Harris","RB","NE","0","0","0","0","0","12","0","0","0","bye","0","0","1","29","","","","","42","14.0"
"Jalen Virgil","WR","DEN","0","0","0","0","0","0","0","0","bye","24","0","4","4","9","","","","","41","10.3"
"Drew Sample","TE","CIN","29","10","0","0","0","0","0","0","0","bye","0","0","0","0","","","","","39","19.5"
"Feleipe Franks","QB","ATL","0","0","0","0","30","0","1","5","0","0","0","0","3","bye","","","","","39","9.8"
"Myles Gaskin","RB","MIA","0","0","0","0","13","0","0","0","0","0","bye","26","0","0","","","","","39","19.5"
"Jesper Horsted","TE","LV","0","0","0","0","37","bye","0","2","0","0","0","0","0","0","","","","","39","19.5"
"Stone Smartt","TE","LAC","0","0","0","0","0","0","0","bye","0","0","19","0","16","4","","","","","39","13.0"
"Benny Snell Jr.","RB","PIT","0","0","0","0","0","0","0","0","bye","0","0","28","9","2","","","","","39","13.0"
"Jeff Driskel","QB","HOU","2","3","0","0","0","bye","0","0","0","0","0","0","0","33","","","","","38","12.7"
"Hunter Long","TE","MIA","0","0","0","0","0","21","0","17","0","0","bye","0","0","0","","","","","38","19.0"
"Donald Parham Jr.","TE","LAC","0","0","0","0","18","19","0","bye","0","0","0","0","0","0","","","","","37","18.5"
"Stephen Sullivan","TE","CAR","0","4","0","1","0","4","0","9","0","0","0","0","bye","18","","","","","36","7.2"
"Miles Boykin","WR","PIT","8","0","0","0","5","4","0","8","bye","0","0","0","0","10","","","","","35","7.0"
"Juwann Winfree","WR","GB","9","0","13","0","0","13","0","0","0","0","0","0","0","bye","","","","","35","11.7"
"Danny Gray","WR","SF","0","7","0","0","7","0","8","0","bye","0","0","0","0","13","","","","","35","8.8"
"Michael Woods II","WR","CLE","0","0","0","0","0","10","0","12","bye","13","0","0","0","0","","","","","35","11.7"
"Trayveon Williams","RB","CIN","0","0","0","0","0","0","0","0","0","bye","8","14","11","2","","","","","35","8.8"
"Mike Davis","RB","BAL","7","18","0","0","5","0","0","0","3","bye","1","0","0","0","","","","","34","6.8"
"Derek Watt","RB","PIT","0","1","0","0","2","3","7","3","bye","6","0","5","7","0","","","","","34","4.3"
"Marlon Mack","RB","Multi","0","0","0","0","0","0","0","0","0","0","0","6","5","23","","","","","34","11.3"
"Kyle Rudolph","TE","TB","0","0","9","0","9","0","8","6","0","0","bye","0","0","0","","","","","32","8.0"
"Khari Blasingame","RB","CHI","0","0","15","0","0","6","0","0","0","0","0","10","0","bye","","","","","31","10.3"
"Tevin Coleman","RB","SF","0","0","0","0","19","12","0","0","bye","0","0","0","0","0","","","","","31","15.5"
"Spencer Brown","RB","CAR","0","0","0","0","0","0","0","18","13","0","0","0","bye","0","","","","","31","15.5"
"Darrynton Evans","RB","CHI","0","0","0","0","0","0","0","0","0","0","0","18","13","bye","","","","","31","15.5"
"Richard Rodgers","TE","LAC","2","0","0","0","0","0","0","bye","15","13","0","0","0","0","","","","","30","10.0"
"Ben Ellefson","TE","MIN","17","0","13","0","0","0","bye","0","0","0","0","0","0","0","","","","","30","15.0"
"Zamir White","RB","LV","0","6","0","3","3","bye","5","0","1","2","0","3","4","3","","","","","30","3.3"
"D'Ernest Johnson","RB","CLE","0","0","0","1","0","9","0","8","bye","12","0","0","0","0","","","","","30","7.5"
"Tommy Sweeney","TE","BUF","0","0","0","0","0","8","bye","0","0","0","0","0","22","0","","","","","30","15.0"
"Luke Farrell","TE","JAC","0","0","0","0","0","7","0","0","15","0","bye","0","6","0","","","","","28","9.3"
"Sean McKeon","TE","DAL","0","0","0","0","0","9","0","0","bye","9","0","0","10","0","","","","","28","9.3"
"Pierre Strong Jr.","RB","NE","0","3","0","0","0","4","0","0","0","bye","0","0","0","19","","","","","26","8.7"
"Dwayne Washington","RB","NO","0","4","0","0","2","0","1","13","5","0","0","1","0","bye","","","","","26","4.3"
"Tyron Johnson","WR","Multi","0","0","0","1","0","0","0","0","25","0","0","0","0","0","","","","","26","13.0"
"Lance McCutcheon","WR","LAR","0","0","0","0","0","0","bye","0","0","0","0","26","0","0","","","","","26","26.0"
"Simi Fehoko","WR","DAL","16","6","3","0","0","0","0","0","bye","0","0","0","0","0","","","","","25","8.3"
"Gardner Minshew II","QB","PHI","0","0","0","0","0","0","bye","11","0","0","0","0","9","5","","","","","25","8.3"
"Deonte Harty","WR","NO","7","11","0","2","4","0","0","0","0","0","0","0","0","bye","","","","","24","6.0"
"Dezmon Patmon","WR","IND","0","24","0","0","0","0","0","0","0","0","0","0","0","bye","","","","","24","24.0"
"Case Keenum","QB","BUF","0","16","0","0","8","0","bye","0","0","0","0","0","0","0","","","","","24","12.0"
"Tyrod Taylor","QB","NYG","0","0","0","12","0","0","0","0","bye","0","0","0","0","12","","","","","24","12.0"
"Ronnie Rivers","RB","LAR","0","0","0","0","0","3","bye","21","0","0","0","0","0","0","","","","","24","12.0"
