"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Jacoby Brissett","QB","CLE","80","67","72","73","67","70","60","72","bye","67","75","79","0","1","","","","","783","65.3"
"Brandon Aiyuk","WR","SF","67","67","50","46","58","55","74","52","bye","69","46","68","80","49","","","","","781","60.1"
"Marcus Mariota","QB","ATL","75","61","57","55","66","58","47","67","61","63","55","57","54","bye","","","","","776","59.7"
"Russell Wilson","QB","DEN","66","72","74","53","73","58","0","61","bye","80","64","60","53","62","","","","","776","64.7"
"Amari Cooper","WR","CLE","66","54","59","62","60","53","57","57","bye","58","63","73","51","62","","","","","775","59.6"
"Christian Kirk","WR","JAC","64","64","70","44","72","58","67","56","52","59","bye","57","48","61","","","","","772","59.4"
"Matt Ryan","QB","IND","92","48","71","66","79","81","64","0","0","65","65","64","72","bye","","","","","767","69.7"
"A.J. Brown","WR","PHI","67","64","56","70","54","61","bye","39","56","39","60","77","60","58","","","","","761","58.5"
"Cole Kmet","TE","CHI","48","35","58","61","45","67","68","75","72","57","63","57","52","bye","","","","","758","58.3"
"T.J. Hockenson","TE","Multi","63","54","59","65","56","0","49","52","60","77","44","55","61","62","","","","","757","58.2"
"CeeDee Lamb","WR","DAL","67","58","61","58","51","62","52","49","bye","75","47","60","49","68","","","","","757","58.2"
"DJ Moore","WR","CAR","53","56","60","50","64","44","50","77","48","59","56","64","bye","69","","","","","750","57.7"
"Justin Fields","QB","CHI","58","41","63","62","50","72","71","76","74","61","69","0","52","bye","","","","","749","62.4"
"Gabe Davis","WR","BUF","58","0","88","63","47","68","bye","52","59","70","57","69","61","54","","","","","746","62.2"
"Parris Campbell","WR","IND","71","43","58","44","73","81","63","46","51","52","52","56","56","bye","","","","","746","57.4"
"Lamar Jackson","QB","BAL","56","59","60","70","65","59","64","76","68","bye","69","72","10","0","","","","","728","60.7"
"Mike Evans","WR","TB","45","41","0","58","67","69","59","64","74","55","bye","62","67","66","","","","","727","60.6"
"Joshua Palmer","WR","LAC","50","68","57","39","52","81","0","bye","63","55","60","63","70","63","","","","","721","60.1"
"Kyler Murray","QB","ARI","57","87","83","76","69","71","66","78","63","0","0","66","bye","3","","","","","719","65.4"
"Travis Kelce","TE","KC","45","51","56","65","56","52","50","bye","83","46","51","63","45","55","","","","","718","55.2"
"Zay Jones","WR","JAC","58","48","58","0","60","62","70","71","65","60","bye","57","46","56","","","","","711","59.3"
"Courtland Sutton","WR","DEN","63","66","64","50","68","58","72","58","bye","74","59","56","23","0","","","","","711","59.3"
"Saquon Barkley","RB","NYG","50","61","66","61","42","57","62","52","bye","55","58","47","58","20","","","","","689","53.0"
"Curtis Samuel","WR","WAS","55","66","64","58","57","49","57","45","48","53","41","37","56","bye","","","","","686","52.8"
"George Pickens","WR","PIT","45","50","45","45","57","53","59","65","bye","63","63","54","44","42","","","","","685","52.7"
"Stefon Diggs","WR","BUF","38","45","64","61","43","64","bye","47","46","69","43","60","55","46","","","","","681","52.4"
"Tyler Conklin","TE","NYJ","77","70","62","57","40","37","44","44","43","bye","37","50","61","53","","","","","675","51.9"
"Evan Engram","TE","JAC","50","49","58","35","56","49","60","67","38","56","bye","51","43","57","","","","","669","51.5"
"Tyler Boyd","WR","CIN","80","57","46","46","61","55","51","51","49","bye","54","53","62","2","","","","","667","51.3"
"Ben Skowronek","WR","LAR","59","54","41","65","57","44","bye","36","37","59","54","34","62","64","","","","","666","51.2"
"Dawson Knox","TE","BUF","51","47","65","48","0","62","bye","52","53","61","52","60","63","51","","","","","665","55.4"
"Tyler Lockett","WR","SEA","44","45","58","55","50","55","46","44","54","47","bye","57","59","50","","","","","664","51.1"
