"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Austin Allen","TE","NYG","-","-","0","0","-","-","-","-","bye","-","-","-","-","-","","","","","0","0.0"
"J.P. Holtz","TE","NO","-","-","-","0","-","-","-","-","-","-","-","-","-","bye","","","","","0","0.0"
"Trey Sermon","RB","PHI","-","-","-","0","-","-","bye","-","-","-","-","-","-","-","","","","","0","0.0"
"Patrick Taylor Jr.","RB","GB","-","-","-","0","-","-","-","0","-","-","0","-","0","bye","","","","","0","0.0"
"Matthew Slater","WR","NE","-","-","-","0","-","-","-","-","0","bye","0","-","0","0","","","","","0","0.0"
"Jake Funk","RB","LAR","-","-","-","0","-","-","bye","-","-","-","-","-","-","-","","","","","0","0.0"
"Malik Turner","WR","SF","-","-","-","0","0","-","-","-","bye","-","-","-","-","-","","","","","0","0.0"
"Kenjon Barner","RB","TB","-","-","-","0","-","-","-","-","-","-","bye","-","-","-","","","","","0","0.0"
"Dan Chisena","WR","MIN","-","-","-","-","0","-","bye","-","0","-","-","-","-","-","","","","","0","0.0"
"Ty Chandler","RB","MIN","-","-","-","-","0","-","bye","-","-","-","-","-","-","-","","","","","0","0.0"
"Kevin Rader","TE","TEN","-","-","-","-","0","bye","0","-","-","0","-","-","0","0","","","","","0","0.0"
"Cullen Gillaspia","RB","SEA","-","-","-","-","0","0","-","0","0","-","bye","-","-","-","","","","","0","0.0"
"Kevin Harris","RB","NE","-","-","-","-","-","0","-","-","-","bye","-","-","0","0","","","","","0","0.0"
"John Lovett","RB","CAR","-","-","-","-","-","0","-","-","-","-","-","-","bye","-","","","","","0","0.0"
"Marcus Kemp","WR","KC","-","-","-","-","-","-","0","bye","0","-","-","-","-","-","","","","","0","0.0"
"Justyn Ross","WR","KC","-","-","-","-","-","-","0","bye","0","-","-","-","-","-","","","","","0","0.0"
"James Winchester","TE","KC","-","-","-","-","-","-","0","bye","0","-","-","-","-","-","","","","","0","0.0"
"Salvon Ahmed","RB","MIA","-","-","-","-","-","-","-","0","0","0","bye","-","-","0","","","","","0","0.0"
"Dareke Young","WR","SEA","-","-","-","-","-","-","-","0","0","-","bye","-","0","-","","","","","0","0.0"
"Jared Pinkney","TE","LAR","-","-","-","-","-","-","bye","0","-","0","-","-","-","-","","","","","0","0.0"
"Rashard Higgins","WR","CAR","-","-","-","-","-","-","-","-","0","-","-","-","bye","-","","","","","0","0.0"
"Brandon Zylstra","WR","DET","-","-","-","-","-","bye","-","-","0","-","-","-","-","-","","","","","0","0.0"
"Kylin Hill","RB","GB","-","-","-","-","-","-","-","-","0","-","-","-","-","bye","","","","","0","0.0"
"Binjimen Victor","WR","BAL","-","-","-","-","-","-","-","-","0","bye","-","-","-","-","","","","","0","0.0"
"La'Mical Perine","RB","MIA","-","-","-","-","-","-","-","-","0","-","bye","-","-","-","","","","","0","0.0"
"Albert Wilson","WR","LV","-","-","-","-","-","bye","-","-","0","-","0","-","0","-","","","","","0","0.0"
"Jordan Howard","RB","NO","-","-","-","-","-","-","-","-","-","0","-","-","-","bye","","","","","0","0.0"
"Trinity Benson","WR","DET","-","-","-","-","-","bye","-","-","-","0","-","-","-","-","","","","","0","0.0"
"Stanley Berryhill III","WR","DET","-","-","-","-","-","bye","-","-","-","0","-","-","-","-","","","","","0","0.0"
"Duke Johnson Jr.","RB","BUF","-","-","-","-","-","-","bye","-","-","0","-","-","-","-","","","","","0","0.0"
"Beau Brinkley","TE","ATL","-","-","-","-","-","-","-","-","-","0","-","-","0","bye","","","","","0","0.0"
"Sandro Platzgummer","RB","NYG","-","-","-","-","-","-","-","-","bye","0","-","-","-","-","","","","","0","0.0"
"Larry Rountree III","RB","LAC","-","-","-","-","-","-","-","bye","-","0","-","-","-","-","","","","","0","0.0"
"Marken Michel","WR","WAS","-","-","-","-","-","-","-","-","-","0","-","-","-","bye","","","","","0","0.0"
"Tyree Jackson","TE","PHI","-","-","-","-","-","-","bye","-","-","-","0","-","-","-","","","","","0","0.0"
"Brittain Brown","RB","LV","-","-","-","-","-","bye","-","-","-","-","0","-","-","-","","","","","0","0.0"
"Ben Mason","RB","BAL","-","-","-","-","-","-","-","-","-","bye","0","-","-","-","","","","","0","0.0"
"Alex Erickson","WR","WAS","-","-","-","-","-","-","-","-","-","-","-","0","0","bye","","","","","0","0.0"
"Snoop Conner","RB","JAC","-","-","-","-","-","-","-","-","-","-","bye","0","0","-","","","","","0","0.0"
"Nick Boyle","TE","BAL","-","-","-","-","-","-","-","-","-","bye","-","0","0","-","","","","","0","0.0"
"Pharoh Cooper","WR","ARI","-","-","-","-","-","-","-","-","-","-","-","0","bye","0","","","","","0","0.0"
"Jashaun Corbin","RB","NYG","-","-","-","-","-","-","-","-","bye","-","-","0","-","-","","","","","0","0.0"
"Royce Freeman","RB","HOU","-","-","-","-","-","bye","-","-","-","-","-","0","-","-","","","","","0","0.0"
"Alex Bachman","WR","HOU","-","-","-","-","-","bye","-","-","-","-","-","0","-","-","","","","","0","0.0"
"Chris Pierce Jr.","TE","ARI","-","-","-","-","-","-","-","-","-","-","-","0","bye","-","","","","","0","0.0"
"Bryant Koback","RB","MIN","-","-","-","-","-","-","bye","-","-","-","-","-","0","-","","","","","0","0.0"
"Godwin Igwebuike","RB","SEA","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","","","","","0","0.0"
"Deven Thompkins","WR","TB","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","","","","","0","0.0"
""
""
