"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Rex Burkhead","RB","HOU","8","3","5","5","3","bye","6","1","2","2","-","2","-","1","","","","","38","3.5"
"Kylen Granson","TE","IND","7","2","2","4","3","4","1","3","1","4","1","-","6","bye","","","","","38","3.2"
"A.J. Green","WR","ARI","4","7","2","-","5","4","-","1","-","2","9","2","bye","2","","","","","38","3.8"
"Isaiah Likely","TE","BAL","4","5","2","-","2","4","1","7","5","bye","3","-","4","-","","","","","37","3.7"
"DJ Chark Jr.","WR","DET","8","4","6","-","-","bye","-","-","-","-","1","5","6","7","","","","","37","5.3"
"Treylon Burks","WR","TEN","5","6","2","3","-","bye","-","-","-","6","8","6","1","-","","","","","37","4.6"
"Scotty Miller","WR","TB","-","8","5","-","7","0","2","2","8","2","bye","-","2","1","","","","","37","3.7"
"Will Dissly","TE","SEA","3","2","3","4","3","1","4","2","4","2","bye","3","2","3","","","","","36","2.8"
"Jahan Dotson","WR","WAS","5","5","8","4","-","-","-","-","-","1","2","1","9","bye","","","","","35","4.4"
"Kareem Hunt","RB","CLE","4","2","4","3","3","1","2","4","bye","1","2","2","3","4","","","","","35","2.7"
"Harrison Bryant","TE","CLE","4","4","-","6","1","4","2","-","bye","3","7","2","1","1","","","","","35","3.2"
"Quez Watkins","WR","PHI","0","2","1","1","4","1","bye","2","2","4","2","5","6","5","","","","","35","2.7"
"Terrace Marshall Jr.","WR","CAR","-","-","-","-","4","1","3","9","6","2","6","3","bye","1","","","","","35","3.9"
"Travis Etienne Jr.","RB","JAC","4","3","3","1","5","2","5","3","2","3","bye","0","3","0","","","","","34","2.6"
"Nyheim Hines","RB","BUF","6","5","6","2","2","-","5","2","1","1","1","0","2","1","","","","","34","2.6"
"Derrick Henry","RB","TEN","1","0","6","5","2","bye","3","1","0","3","2","3","3","5","","","","","34","2.6"
"Mecole Hardman","WR","KC","6","4","1","1","5","4","4","bye","9","-","-","-","-","-","","","","","34","4.3"
"Jordan Akins","TE","HOU","-","-","4","2","2","bye","4","2","1","3","3","5","6","2","","","","","34","3.1"
"Equanimeous St. Brown","WR","CHI","3","4","2","2","2","0","7","3","2","0","2","2","4","bye","","","","","33","2.5"
"Irv Smith Jr.","TE","MIN","2","8","6","4","5","4","bye","4","-","-","-","-","-","-","","","","","33","4.7"
"AJ Dillon","RB","GB","6","3","3","2","0","6","0","1","4","0","1","4","3","bye","","","","","33","2.5"
"Eno Benjamin","RB","HOU","4","4","4","1","4","3","5","7","1","0","-","-","-","0","","","","","33","3.0"
