"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Curtis Samuel","WR","CAR","8","2","4","4","5","-","6","5","9","5","10","5","bye","9","9","5","11","97","6.5"
"Zach Ertz","TE","PHI","7","7","10","5","6","10","-","-","bye","-","-","-","4","3","7","7","6","72","6.5"
"Julian Edelman","WR","NE","7","11","6","6","bye","6","3","-","-","-","-","-","-","-","-","-","-","39","6.5"
"A.J. Green","WR","CIN","9","13","6","5","1","11","13","5","bye","5","9","3","1","7","3","7","6","104","6.5"
"Austin Ekeler","RB","LAC","1","4","11","1","-","bye","-","-","-","-","-","16","9","9","4","3","7","65","6.5"
"Kenny Golladay","WR","DET","-","-","7","8","bye","6","7","4","-","-","-","-","-","-","-","-","-","32","6.4"
"Christian McCaffrey","RB","CAR","4","5","-","-","-","-","-","-","10","-","-","-","bye","-","-","-","-","19","6.3"
"Marquise Brown","WR","BAL","6","6","6","8","10","6","bye","2","5","7","3","8","8","6","7","4","8","100","6.3"
"Mark Andrews","TE","BAL","6","3","8","3","9","4","bye","6","5","9","7","-","-","6","5","10","7","88","6.3"
"T.J. Hockenson","TE","DET","5","4","7","4","bye","5","6","10","8","4","7","8","9","11","4","6","3","101","6.3"
"Deebo Samuel","WR","SF","-","-","-","3","8","6","5","-","-","-","bye","13","9","0","-","-","-","44","6.3"
"T.Y. Hilton","WR","IND","9","5","3","5","10","5","bye","2","-","5","6","5","11","7","6","7","7","93","6.2"
"Noah Fant","TE","DEN","6","5","10","6","bye","-","7","9","3","7","5","2","7","0","11","9","6","93","6.2"
"Odell Beckham Jr.","WR","CLE","10","6","6","8","9","3","1","-","bye","-","-","-","-","-","-","-","-","43","6.1"
"Darnell Mooney","WR","CHI","3","3","5","9","5","5","7","6","11","2","bye","9","6","2","5","7","13","98","6.1"
"Eric Ebron","TE","PIT","2","5","7","bye","6","4","8","5","6","6","7","11","11","5","1","7","-","91","6.1"
"Darius Slayton","WR","NYG","9","6","7","7","11","4","3","9","1","7","bye","2","1","8","9","8","4","96","6.0"
"Courtland Sutton","WR","DEN","-","6","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","-","6","6.0"
"Dallas Goedert","TE","PHI","9","8","1","-","-","-","-","1","bye","6","6","10","7","6","8","3","-","65","5.9"
"Emmanuel Sanders","WR","NO","5","3","5","9","14","bye","-","-","5","1","5","1","6","5","5","5","13","82","5.9"
"John Brown","WR","BUF","10","6","2","5","-","4","-","2","11","8","bye","-","-","-","-","-","4","52","5.8"
"Jakobi Meyers","WR","NE","0","1","0","-","bye","-","6","10","14","7","3","6","6","5","10","6","7","81","5.8"
"Mike Gesicki","TE","MIA","5","11","3","3","6","2","bye","2","4","5","5","5","11","6","-","7","10","85","5.7"
"Mike Williams","WR","LAC","9","4","1","-","8","bye","3","8","7","5","7","5","9","0","2","10","7","85","5.7"
"Laviska Shenault Jr.","WR","JAC","4","4","6","6","8","7","3","bye","1","-","-","4","3","11","6","7","9","79","5.6"
"Christian Kirk","WR","ARI","5","4","-","5","7","3","8","bye","8","6","6","6","3","4","4","10","-","79","5.6"
"Dalton Schultz","TE","DAL","4","10","6","8","3","5","4","8","7","bye","6","5","4","3","2","4","10","89","5.6"
"Sammy Watkins","WR","KC","9","3","8","7","2","-","-","-","-","bye","-","7","6","3","6","4","-","55","5.5"
"Keelan Cole Sr.","WR","JAC","5","7","6","5","6","9","2","bye","2","7","5","6","2","12","2","5","7","88","5.5"
"Hayden Hurst","TE","ATL","5","8","3","6","6","4","7","7","8","bye","2","8","4","3","5","6","6","88","5.5"
"C.J. Uzomah","TE","CIN","5","6","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","11","5.5"
"Larry Fitzgerald","WR","ARI","5","7","3","3","7","4","8","bye","5","5","10","-","-","3","4","8","-","72","5.5"
"Austin Hooper","TE","CLE","2","4","4","7","10","6","-","-","bye","2","5","2","2","-","6","15","5","70","5.4"
"Tim Patrick","WR","DEN","5","5","4","7","bye","8","4","-","9","6","8","2","4","5","4","4","4","79","5.3"
"Chris Hogan","WR","NYJ","4","8","3","8","3","-","-","-","-","bye","-","-","-","-","-","-","-","26","5.2"
"DeSean Jackson","WR","PHI","7","9","4","-","-","-","5","-","bye","-","-","-","-","-","-","1","-","26","5.2"
"Travis Fulgham","WR","PHI","-","-","-","3","13","10","11","7","bye","5","7","2","2","0","2","3","2","67","5.2"
"Nelson Agholor","WR","LV","1","1","3","4","2","bye","9","2","3","4","9","6","11","9","8","6","4","82","5.1"
"Josh Reynolds","WR","LAR","1","2","5","4","4","5","8","9","bye","10","6","6","1","2","2","10","6","81","5.1"
"Breshad Perriman","WR","NYJ","5","2","-","-","-","8","2","-","7","bye","4","8","4","7","1","6","6","60","5.0"
"Adam Humphries","WR","TEN","7","6","7","bye","-","6","3","2","-","-","-","-","4","-","-","-","-","35","5.0"
"Keke Coutee","WR","HOU","-","2","-","-","-","-","-","bye","-","-","4","3","9","3","7","5","7","40","5.0"
"Jalen Reagor","WR","PHI","4","4","-","-","-","-","-","6","bye","7","5","7","1","4","8","7","1","54","4.9"
"Greg Ward","WR","PHI","7","1","11","7","5","3","6","5","bye","6","4","3","5","5","5","3","3","79","4.9"
"Danny Amendola","WR","DET","7","7","4","3","bye","2","4","4","10","3","-","-","5","7","4","7","2","69","4.9"
"Kendrick Bourne","WR","SF","5","5","6","6","4","3","1","10","-","5","bye","5","6","7","4","1","6","74","4.9"
"Denzel Mims","WR","NYJ","-","-","-","-","-","-","7","3","8","bye","7","8","3","-","4","2","2","44","4.9"
"Randall Cobb","WR","HOU","3","6","4","5","6","4","10","bye","3","5","2","-","-","-","-","-","-","48","4.8"
"Nyheim Hines","RB","IND","8","1","5","3","4","6","bye","5","3","6","4","10","3","4","3","4","7","76","4.8"
"Hunter Renfrow","WR","LV","2","3","9","8","2","bye","6","4","3","2","2","9","6","7","2","5","7","77","4.8"
"Damiere Byrd","WR","NE","0","9","3","10","bye","4","2","4","9","0","7","8","3","8","4","3","3","77","4.8"
"Anthony Miller","WR","CHI","6","3","5","5","4","3","5","11","8","7","bye","6","5","2","1","3","2","76","4.8"
"Jimmy Graham","TE","CHI","7","1","10","5","5","8","6","7","6","2","bye","4","1","4","3","5","2","76","4.8"
"O.J. Howard","TE","TB","6","3","4","6","-","-","-","-","-","-","-","-","bye","-","-","-","-","19","4.8"
"Rob Gronkowski","TE","TB","3","1","7","3","6","8","8","4","6","3","6","7","bye","2","7","2","4","77","4.8"
"Chad Hansen","WR","HOU","-","-","-","-","-","-","-","bye","-","-","-","-","7","7","3","3","4","24","4.8"
"Michael Pittman Jr.","WR","IND","2","6","4","-","-","-","bye","1","7","8","3","9","5","5","3","6","2","61","4.7"
"Mike Davis","RB","CAR","0","8","9","6","10","3","5","2","6","5","2","6","bye","6","2","0","-","70","4.7"
"Myles Gaskin","RB","MIA","4","7","5","4","5","4","bye","6","-","-","-","-","2","-","-","5","5","47","4.7"
"Ezekiel Elliott","RB","DAL","4","7","11","8","2","10","2","2","3","bye","2","3","6","3","-","4","4","71","4.7"
"Allen Lazard","WR","GB","4","5","8","-","bye","-","-","-","-","-","4","6","4","3","6","2","4","46","4.6"
"Jordan Reed","TE","SF","2","8","6","-","-","-","-","-","2","6","bye","6","4","5","5","2","-","46","4.6"
"Parris Campbell","WR","IND","9","0","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","9","4.5"
"Aaron Jones","RB","GB","6","8","4","5","bye","5","-","-","5","6","4","2","3","3","4","3","5","63","4.5"
"David Montgomery","RB","CHI","3","3","3","6","8","5","5","5","3","-","bye","6","4","4","2","2","9","68","4.5"
"Saquon Barkley","RB","NYG","9","0","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","9","4.5"
"Zach Pascal","WR","IND","3","4","4","8","2","7","bye","6","6","5","3","4","1","2","6","6","4","71","4.4"
"James White","RB","NE","3","-","-","8","bye","9","1","4","5","2","9","1","4","2","4","3","7","62","4.4"
"Isaiah Ford","WR","MIA","5","9","2","10","2","0","bye","1","-","-","-","-","-","-","3","5","7","44","4.4"
"Preston Williams","WR","MIA","7","5","2","3","5","3","bye","5","5","-","-","-","-","-","-","-","-","35","4.4"
"D'Andre Swift","RB","DET","5","5","2","4","bye","4","5","4","5","5","-","-","-","5","5","5","3","57","4.4"
"James Robinson","RB","JAC","1","4","6","4","7","4","6","bye","2","5","2","6","6","4","3","-","-","60","4.3"
"Joe Mixon","RB","CIN","2","4","3","6","8","3","-","-","bye","-","-","-","-","-","-","-","-","26","4.3"
"Jonnu Smith","TE","TEN","7","5","8","bye","7","2","4","2","2","6","6","0","-","2","5","7","2","65","4.3"
"Miles Sanders","RB","PHI","-","7","8","4","4","2","-","-","bye","5","5","3","1","5","2","6","-","52","4.3"
"Golden Tate","WR","NYG","-","5","7","6","5","1","2","3","-","5","bye","9","4","2","3","-","-","52","4.3"
"K.J. Hamler","WR","DEN","-","7","5","0","bye","-","3","3","10","10","6","0","5","3","4","0","-","56","4.3"
"Clyde Edwards-Helaire","RB","KC","2","8","6","3","8","4","4","3","5","bye","2","1","-","6","2","-","-","54","4.2"
"Chris Conley","WR","JAC","1","7","8","4","2","2","2","bye","8","8","4","-","2","0","3","3","9","63","4.2"
"Chase Edmonds","RB","ARI","5","4","2","6","6","2","7","bye","3","3","4","5","5","5","5","3","2","67","4.2"
"N'Keal Harry","WR","NE","6","12","4","6","bye","2","2","-","-","0","8","2","3","4","2","4","2","57","4.1"
"Tyler Eifert","TE","JAC","1","6","3","6","7","0","-","bye","5","4","5","4","6","2","4","5","2","60","4.0"
"Rashard Higgins","WR","CLE","1","0","-","-","3","2","6","3","bye","4","4","2","9","10","5","-","3","52","4.0"
"Jared Cook","TE","NO","7","5","3","-","3","bye","4","7","3","2","1","2","5","4","5","4","5","60","4.0"
"Tyler Higbee","TE","LAR","4","5","2","4","2","4","-","4","bye","6","4","2","6","2","5","6","4","60","4.0"
"Demarcus Robinson","WR","KC","6","4","1","-","4","6","1","5","3","bye","8","6","2","1","3","2","7","59","3.9"
"Mecole Hardman","WR","KC","1","3","6","4","3","1","2","9","4","bye","1","5","3","3","9","6","2","62","3.9"
"Gabe Davis","WR","BUF","2","1","4","1","9","1","3","2","5","3","bye","4","4","8","5","5","5","62","3.9"
"Jakeem Grant Sr.","WR","MIA","3","1","1","5","3","4","bye","2","5","5","6","2","6","5","-","6","-","54","3.9"
"Dalvin Cook","RB","MIN","2","2","5","2","5","-","bye","3","2","4","5","4","9","4","5","2","-","54","3.9"
"Marquez Valdes-Scantling","WR","GB","6","7","4","8","bye","5","4","1","4","6","6","0","2","6","1","0","3","63","3.9"
"Gerald Everett","TE","LAR","2","0","2","1","4","4","5","9","bye","3","5","2","7","3","5","3","7","62","3.9"
"David Johnson","RB","HOU","4","4","3","3","4","2","4","bye","1","-","-","-","2","-","11","3","5","46","3.8"
"Jordan Akins","TE","HOU","2","7","3","3","-","-","-","bye","4","1","6","2","3","6","6","4","2","49","3.8"
"Chris Carson","RB","SEA","6","3","3","4","7","bye","2","-","-","-","-","2","6","5","3","3","2","46","3.8"
"Albert Okwuegbunam","TE","DEN","-","-","-","-","bye","6","7","1","1","-","-","-","-","-","-","-","-","15","3.8"
"Dawson Knox","TE","BUF","3","3","-","3","3","-","-","-","0","4","bye","1","4","7","4","4","8","44","3.7"
"Willie Snead IV","WR","BAL","4","2","2","2","3","2","bye","7","4","7","7","-","-","5","1","2","-","48","3.7"
"Giovani Bernard","RB","CIN","5","7","3","0","2","3","5","4","bye","7","5","3","2","3","1","8","1","59","3.7"
"Robert Tonyan","TE","GB","0","3","5","6","bye","4","2","7","1","4","5","5","5","5","3","2","2","59","3.7"
"Lynn Bowden Jr.","WR","MIA","-","1","-","0","0","0","bye","-","-","-","-","1","4","9","7","3","12","37","3.7"
"Ja'Marcus Bradley","WR","CLE","-","-","-","-","-","-","-","-","bye","-","-","-","0","0","-","11","-","11","3.7"
"Tre'Quan Smith","WR","NO","1","7","6","4","3","bye","4","7","2","1","0","1","6","6","2","-","-","50","3.6"
"Leonard Fournette","RB","TB","1","5","2","-","0","-","7","6","6","3","4","3","bye","-","5","3","2","47","3.6"
"Trey Burton","TE","IND","-","-","-","5","6","5","bye","4","4","3","5","6","3","0","2","4","0","47","3.6"
"James Washington","WR","PIT","3","5","7","bye","4","7","1","1","2","2","3","3","4","6","3","3","2","56","3.5"
"Braxton Berrios","WR","NYJ","0","8","4","3","2","3","7","11","1","bye","0","0","2","5","3","3","3","55","3.4"
"Greg Olsen","TE","SEA","4","1","6","7","1","bye","3","4","3","4","2","-","-","-","-","2","-","37","3.4"
"Jalen Guyton","WR","LAC","1","2","3","1","3","bye","3","4","2","6","1","4","7","3","6","5","4","55","3.4"
"Kalen Ballage","RB","LAC","-","2","5","3","-","bye","-","-","3","6","9","-","4","2","0","3","0","37","3.4"
"Henry Ruggs III","WR","LV","5","3","-","-","3","bye","3","4","3","4","1","5","4","3","-","2","3","43","3.3"
"Rex Burkhead","RB","NE","0","6","10","1","bye","0","4","1","3","5","3","-","-","-","-","-","-","33","3.3"
"Irv Smith Jr.","TE","MIN","1","4","0","1","5","5","bye","1","4","-","2","-","-","4","4","9","3","43","3.3"
"Drew Sample","TE","CIN","1","9","1","5","2","1","6","1","bye","2","4","5","7","4","1","1","3","53","3.3"
"Scotty Miller","WR","TB","6","3","5","7","0","2","9","6","3","1","0","1","bye","2","3","2","3","53","3.3"
"James Conner","RB","PIT","4","2","5","bye","3","1","5","3","2","2","3","-","-","0","-","5","8","43","3.3"
"Anthony Firkser","TE","TEN","2","4","0","bye","5","9","2","3","6","3","5","1","7","1","1","2","2","53","3.3"
"Duke Johnson Jr.","RB","HOU","1","-","-","4","1","2","5","bye","4","1","5","4","6","2","-","-","-","35","3.2"
"Kareem Hunt","RB","CLE","6","2","3","0","4","3","4","3","bye","4","1","2","3","7","3","5","1","51","3.2"
"Richie James Jr.","WR","SF","0","-","-","-","-","0","0","-","13","5","bye","1","0","3","7","1","5","35","3.2"
"Devin Singletary","RB","BUF","7","3","5","6","1","2","5","1","3","3","bye","3","4","1","3","2","1","50","3.1"
"Antonio Gibson","RB","WAS","2","2","3","5","5","5","1","bye","3","4","2","7","0","-","-","4","1","44","3.1"
"Steven Sims Jr.","WR","WAS","3","5","0","-","-","-","-","bye","1","6","3","1","6","3","2","6","1","37","3.1"
"Kyle Rudolph","TE","MIN","2","1","3","2","2","4","bye","1","4","5","3","8","2","-","-","-","-","37","3.1"
"Jeff Smith","WR","NYJ","-","-","-","9","11","4","1","8","0","bye","1","1","-","2","0","0","0","37","3.1"
"Marlon Mack","RB","IND","3","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","3","3.0"
"Josh Jacobs","RB","LV","6","3","4","4","3","bye","4","1","1","4","1","3","-","5","3","2","1","45","3.0"
"Tarik Cohen","RB","CHI","2","1","6","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","9","3.0"
"Ronald Jones II","RB","TB","3","2","4","9","5","2","2","4","4","2","1","2","bye","2","-","-","0","42","3.0"
"Cam Sims","WR","WAS","0","0","0","2","0","1","1","bye","4","5","2","0","9","2","8","9","5","48","3.0"
"Lawrence Cager","WR","NYJ","-","-","4","2","-","-","-","-","-","bye","-","-","-","-","-","-","-","6","3.0"
"Chris Thompson","RB","JAC","2","4","6","0","3","4","-","bye","4","0","-","-","-","-","-","-","-","23","2.9"
"Chris Herndon IV","TE","NYJ","7","4","5","3","3","0","1","2","0","bye","3","0","0","1","4","4","9","46","2.9"
"Olamide Zaccheaus","WR","ATL","0","1","6","9","4","2","0","0","6","bye","1","3","-","-","-","-","-","32","2.9"
"David Moore","WR","SEA","3","3","1","4","3","bye","3","3","6","3","2","3","2","5","4","1","1","47","2.9"
"Jerick McKinnon","RB","SF","5","1","4","8","4","3","0","4","4","3","bye","3","0","0","2","4","1","46","2.9"
"Melvin Gordon III","RB","DEN","3","3","6","3","bye","-","4","7","1","2","0","0","2","3","4","0","6","44","2.9"
"KeeSean Johnson","WR","ARI","-","-","7","-","1","-","-","bye","-","-","-","1","4","2","3","3","2","23","2.9"
"Dontrelle Inman","WR","WAS","5","5","6","5","1","5","0","bye","-","-","-","1","0","-","-","-","0","28","2.8"
"Cole Kmet","TE","CHI","1","1","0","1","0","2","2","1","0","3","bye","3","7","7","2","6","8","44","2.8"
"Deonte Harty","WR","NO","1","5","3","2","-","bye","5","3","1","4","1","-","-","-","-","-","-","25","2.8"
"Dan Arnold","TE","ARI","2","4","2","4","0","0","3","bye","1","4","2","3","3","4","5","5","3","45","2.8"
"DaeSean Hamilton","WR","DEN","3","3","0","3","bye","2","3","5","2","6","0","1","0","1","0","9","6","44","2.8"
"Jonathan Taylor","RB","IND","6","2","1","1","3","4","bye","2","2","2","4","-","3","2","5","1","2","40","2.7"
"Quintez Cephus","WR","DET","10","3","0","0","bye","-","-","-","2","2","2","2","4","2","3","2","3","35","2.7"
"Marvin Hall","WR","CLE","2","2","0","1","-","2","1","7","5","3","3","4","-","-","-","2","-","32","2.7"
"Justin Jackson","RB","LAC","0","-","-","2","6","bye","6","5","0","-","-","-","-","3","-","0","2","24","2.7"
"Andy Isabella","WR","ARI","0","3","4","3","3","2","3","bye","3","1","2","6","5","-","-","-","0","35","2.7"
"Mo Alie-Cox","TE","IND","2","6","3","2","1","-","bye","4","3","4","3","2","5","1","2","1","0","39","2.6"
"James O'Shaughnessy","TE","JAC","1","4","4","2","3","1","3","bye","2","1","-","4","6","2","1","3","1","38","2.5"
"Jacob Hollister","TE","SEA","1","0","2","0","0","bye","3","2","7","1","3","5","4","1","2","6","3","40","2.5"
"Harrison Bryant","TE","CLE","2","2","2","4","1","2","5","3","bye","0","0","2","0","6","2","7","-","38","2.5"
"Jamaal Williams","RB","GB","4","0","1","8","bye","1","5","6","-","4","2","0","2","0","2","-","0","35","2.5"
"Tony Pollard","RB","DAL","3","1","1","2","3","4","1","2","2","bye","0","2","1","2","9","2","5","40","2.5"
"Isaiah Wright","WR","WAS","0","-","6","5","1","5","-","bye","3","6","1","0","4","1","2","1","0","35","2.5"
"Marquez Callaway","WR","NO","-","0","0","1","6","bye","10","-","2","0","0","0","-","-","-","4","4","27","2.5"
"Marcus Johnson","WR","IND","-","-","-","1","3","8","bye","4","7","1","3","0","0","1","0","-","-","28","2.5"
"DeAndre Washington","RB","MIA","-","-","-","-","-","-","1","-","-","0","-","5","-","4","-","-","-","10","2.5"
"Jack Doyle","TE","IND","4","-","0","1","2","3","bye","3","2","-","2","1","1","3","2","6","3","33","2.4"
"Raheem Mostert","RB","SF","5","2","-","-","3","2","-","-","-","-","bye","2","1","4","0","-","-","19","2.4"
"Auden Tate","WR","CIN","0","-","4","1","1","-","1","7","bye","4","2","2","-","-","-","-","-","22","2.4"
"Mohamed Sanu Sr.","WR","DET","-","0","1","0","bye","-","-","-","-","-","0","4","2","2","5","4","6","24","2.4"
"Todd Gurley II","RB","ATL","5","0","2","1","5","4","3","0","2","bye","2","-","1","3","2","3","2","35","2.3"
"Boston Scott","RB","PHI","2","3","1","0","0","4","5","2","bye","1","3","6","2","1","1","0","5","36","2.3"
"John Ross","WR","CIN","5","2","-","-","-","0","-","-","bye","-","-","-","-","-","-","-","-","7","2.3"
"Jeff Wilson Jr.","RB","SF","0","0","3","1","1","-","2","-","-","-","bye","0","5","3","4","2","7","28","2.3"
"Salvon Ahmed","RB","MIA","-","-","-","-","-","-","bye","-","0","1","6","-","-","-","3","1","3","14","2.3"
"Collin Johnson","WR","JAC","1","3","2","0","4","0","1","bye","2","0","0","8","6","3","1","-","-","31","2.2"
"John Hightower","WR","PHI","4","0","3","2","6","4","2","3","bye","0","0","1","2","-","-","-","2","29","2.2"
"David Njoku","TE","CLE","3","-","-","-","1","3","3","3","bye","0","1","0","1","4","1","4","5","29","2.2"
"Richard Rodgers","TE","PHI","0","0","2","4","1","3","8","0","bye","5","2","6","0","0","0","-","-","31","2.2"
"Tyron Johnson","WR","LAC","-","-","-","1","0","bye","1","-","1","0","1","4","1","7","5","3","2","26","2.2"
"Quez Watkins","WR","PHI","-","-","-","-","0","0","-","-","bye","-","-","-","-","1","4","3","5","13","2.2"
"Isaiah McKenzie","WR","BUF","3","2","2","1","4","1","2","0","1","1","bye","0","2","1","1","4","9","34","2.1"
"Miles Boykin","WR","BAL","4","5","2","4","2","2","bye","3","1","0","0","0","3","1","2","2","2","33","2.1"
"Cameron Brate","TE","TB","1","0","0","1","6","1","1","2","0","3","4","6","bye","1","4","2","2","34","2.1"
"Kenyan Drake","RB","ARI","2","2","1","0","1","2","2","bye","-","1","5","4","3","1","2","2","3","31","2.1"
"Malcolm Brown","RB","LAR","4","0","2","6","2","4","1","2","bye","2","1","2","1","1","1","3","1","33","2.1"
"Chad Beebe","WR","MIN","-","-","1","0","2","6","bye","1","0","2","0","7","3","3","2","0","3","30","2.1"
"Carlos Hyde","RB","SEA","0","2","1","-","-","bye","4","-","-","-","3","3","3","0","3","1","-","20","2.0"
"Damion Ratley","WR","NYG","1","2","2","4","1","-","-","-","-","-","bye","-","-","-","-","-","-","10","2.0"
"Devonta Freeman","RB","NYG","-","-","0","4","3","2","1","-","-","-","bye","-","-","-","-","-","-","10","2.0"
"Deontay Burnett","WR","PHI","-","-","4","0","-","-","-","-","bye","-","-","-","-","-","-","-","-","4","2.0"
"Keith Kirkwood","WR","CAR","-","-","-","-","-","2","-","-","-","-","-","-","bye","-","-","-","-","2","2.0"
"Terry Godwin","WR","JAC","-","-","-","-","-","-","-","bye","-","2","0","-","-","-","-","-","4","6","2.0"
"Lamar Miller","RB","CHI","-","-","-","-","-","-","-","-","-","2","bye","-","-","-","-","-","-","2","2.0"
