"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Deebo Samuel","WR","SF","3","7","4","bye","3","5","-","3","7","11","10","2","4","8","3","6","5","81","5.4"
"Jacob Hollister","TE","SEA","-","-","-","-","-","0","6","2","6","10","bye","4","8","6","3","6","8","59","5.4"
"Anthony Miller","WR","CHI","1","1","3","3","7","bye","9","3","1","2","11","9","13","4","15","2","1","85","5.3"
"Taylor Gabriel","WR","CHI","5","2","7","-","-","bye","2","6","3","6","14","3","-","-","-","-","-","48","5.3"
"Chris Thompson","RB","WAS","10","8","5","5","7","3","-","-","-","bye","-","-","2","8","3","4","3","58","5.3"
"A.J. Brown","WR","TEN","4","5","5","3","2","4","8","3","7","4","bye","5","4","7","13","2","8","84","5.3"
"James Washington","WR","PIT","6","3","5","1","6","-","bye","6","4","7","5","7","4","4","11","8","3","80","5.3"
"Le'Veon Bell","RB","NYJ","9","10","4","bye","9","1","4","5","9","4","2","5","5","-","2","4","5","78","5.2"
"Jason Witten","TE","DAL","4","4","4","4","4","7","4","bye","9","5","7","4","8","7","5","3","4","83","5.2"
"Marquise Brown","WR","BAL","5","13","9","7","5","-","-","bye","4","4","4","7","2","3","4","2","2","71","5.1"
"Brandin Cooks","WR","LAR","6","4","12","9","3","3","7","1","bye","-","-","4","2","2","8","6","5","72","5.1"
"Devonta Freeman","RB","ATL","4","4","4","9","5","3","3","8","bye","4","-","-","5","4","3","10","4","70","5.0"
"Devin Funchess","WR","IND","5","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","5","5.0"
"Kenyan Drake","RB","ARI","3","6","6","5","-","9","4","-","4","7","7","bye","5","3","1","4","4","68","4.9"
"Alex Erickson","WR","CIN","4","3","1","0","1","6","14","7","bye","2","5","8","2","7","5","9","4","78","4.9"
"T.J. Hockenson","TE","DET","9","3","4","3","bye","6","5","1","7","6","2","2","11","-","-","-","-","59","4.9"
"Breshad Perriman","WR","TB","5","4","2","1","-","-","bye","4","8","4","3","1","6","5","6","12","8","69","4.9"
"Kareem Hunt","RB","CLE","0","-","-","-","-","-","bye","-","-","9","8","3","5","2","9","4","4","44","4.9"
"Adam Thielen","WR","MIN","3","8","5","6","8","8","2","-","1","-","-","bye","-","-","3","4","-","48","4.8"
"Vernon Davis","TE","WAS","7","4","4","4","-","-","-","-","-","bye","-","-","-","-","-","-","-","19","4.8"
"Albert Wilson","WR","MIA","4","-","-","-","bye","6","2","2","2","3","6","7","5","2","8","7","8","62","4.8"
"Duke Williams","WR","BUF","-","-","-","-","4","bye","1","2","-","-","-","-","-","-","-","-","12","19","4.8"
"Eric Ebron","TE","IND","3","4","4","5","4","bye","5","4","2","12","4","5","-","-","-","-","-","52","4.7"
"Kaden Smith","TE","NYG","-","-","-","-","-","0","-","-","0","1","bye","6","8","5","3","8","11","42","4.7"
"Russell Gage","WR","ATL","2","1","0","0","2","1","2","9","bye","5","4","10","9","4","6","6","13","74","4.6"
"Corey Davis","WR","TEN","3","5","4","6","4","5","7","6","5","-","bye","3","2","4","6","4","5","69","4.6"
"Gerald Everett","TE","LAR","1","4","2","8","11","5","10","3","bye","12","1","2","-","-","-","1","0","60","4.6"
"Jared Cook","TE","NO","3","7","2","6","6","3","-","-","bye","10","2","8","6","2","4","4","2","65","4.6"
"Tyrell Williams","WR","OAK","7","7","3","7","-","-","-","6","4","5","4","6","4","4","3","4","0","64","4.6"
"Melvin Gordon III","RB","LAC","-","-","-","-","6","4","3","3","4","1","5","bye","3","5","7","7","7","55","4.6"
"Dalvin Cook","RB","MIN","2","3","5","8","6","2","2","6","7","7","6","bye","4","2","3","-","-","63","4.5"
