"","player","pos","team","season","start_week","end_week","scoring","rank","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_lg","receiving_20","receiving_td","rushing_att","rushing_yds","rushing_td","fl","g","fpts","fpts_g","rost"
"229","Blake Proehl","WR","MIN","2022",7,7,"ppr","229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Brandon Smith","WR","DAL","2022",7,7,"ppr","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Tre Nixon","WR","NE","2022",7,7,"ppr","231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Jalen Camp","WR","HOU","2022",7,7,"ppr","232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Racey McMath","WR","TEN","2022",7,7,"ppr","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Braylon Sanders","WR","MIA","2022",7,7,"ppr","234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Ethan Fernea","WR","IND","2022",7,7,"ppr","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Dennis Houston","WR","DAL","2022",7,7,"ppr","236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Mike Harley Jr.","WR","CLE","2022",7,7,"ppr","237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Kendric Pryor","WR","JAC","2022",7,7,"ppr","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Kwamie Lassiter II","WR","CIN","2022",7,7,"ppr","239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Dre Miller","WR","NYG","2022",7,7,"ppr","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Rodney Williams","WR","PIT","2022",7,7,"ppr","241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Tyreik McAllister","WR","DEN","2022",7,7,"ppr","242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Kaden Davis","WR","DEN","2022",7,7,"ppr","243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Lance McCutcheon","WR","LAR","2022",7,7,"ppr","244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Raleigh Webb","WR","NE","2022",7,7,"ppr","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Shemar Bridges","WR","BAL","2022",7,7,"ppr","246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Irvin Charles","WR","NYJ","2022",7,7,"ppr","247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Josh Ali","WR","ATL","2022",7,7,"ppr","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Daylen Baldwin","WR","CLE","2022",7,7,"ppr","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Maurice Alexander","WR","DET","2022",7,7,"ppr","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Isaiah Weston","WR","CLE","2022",7,7,"ppr","251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Gerrit Prince","WR","JAC","2022",7,7,"ppr","252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Britain Covey","WR","PHI","2022",7,7,"ppr","253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Brandon Johnson","WR","DEN","2022",7,7,"ppr","254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Jared Bernhardt","WR","ATL","2022",7,7,"ppr","255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Drew Estrada","WR","HOU","2022",7,7,"ppr","256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Chris Pierce Jr.","WR","ARI","2022",7,7,"ppr","257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Kyric McGowan","WR","WAS","2022",7,7,"ppr","258","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Stone Smartt","WR","LAC","2022",7,7,"ppr","259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Ra'Shaun Henry","WR","ATL","2022",7,7,"ppr","260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Derek Wright","WR","CAR","2022",7,7,"ppr","261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Dareke Young","WR","SEA","2022",7,7,"ppr","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Devon Allen","WR","PHI","2022",7,7,"ppr","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Treylon Burks","WR","TEN","2022",7,7,"ppr","264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.1%"
"265","John Metchie III","WR","HOU","2022",7,7,"ppr","265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"266","Kevin Austin Jr.","WR","JAC","2022",7,7,"ppr","266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Makai Polk","WR","NYG","2022",7,7,"ppr","267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Jerrion Ealy","WR","KC","2022",7,7,"ppr","268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Frank Darby","WR","ATL","2022",7,7,"ppr","269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"270","Joshua Palmer","WR","LAC","2022",7,7,"ppr","270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.5%"
"271","Ben Skowronek","WR","LAR","2022",7,7,"ppr","271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9%"
"272","Cornell Powell","WR","KC","2022",7,7,"ppr","272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","Cade Johnson","WR","SEA","2022",7,7,"ppr","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Anthony Miller","WR","PIT","2022",7,7,"ppr","274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Cole Beasley","WR","BUF","2022",7,7,"ppr","275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"276","Demario Ballard","WR","DET","2022",7,7,"ppr","276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Patrick Edwards","WR","DET","2022",7,7,"ppr","277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","T.Y. Hilton","WR","DAL","2022",7,7,"ppr","278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"279","Eron Riley","WR","NYJ","2022",7,7,"ppr","279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","John Brown","WR","BUF","2022",7,7,"ppr","280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"281","Jarvis Landry","WR","NO","2022",7,7,"ppr","281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.3%"
"282","Allen Robinson II","WR","LAR","2022",7,7,"ppr","282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.3%"
"283","Albert Wilson","WR","LV","2022",7,7,"ppr","283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Jordan Matthews","WR","SF","2022",7,7,"ppr","284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","James Washington","WR","DAL","2022",7,7,"ppr","285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"286","Matthew Slater","WR","NE","2022",7,7,"ppr","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Marko Mitchell","WR","MIN","2022",7,7,"ppr","287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Lance Long","WR","SF","2022",7,7,"ppr","288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Kenny McKinley","WR","DEN","2022",7,7,"ppr","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Maurice Purify","WR","CIN","2022",7,7,"ppr","290","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Bobby Wade","WR","WAS","2022",7,7,"ppr","291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","DeSean Jackson","WR","BAL","2022",7,7,"ppr","292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"293","Chris Henry","WR","CIN","2022",7,7,"ppr","293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"294","Onrea Jones","WR","CHI","2022",7,7,"ppr","294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"295","Randall Cobb","WR","GB","2022",7,7,"ppr","295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"296","Julio Jones","WR","TB","2022",7,7,"ppr","296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.9%"
"297","A.J. Green","WR","ARI","2022",7,7,"ppr","297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"298","Taj Smith","WR","IND","2022",7,7,"ppr","298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Andre Roberts","WR","CAR","2022",7,7,"ppr","299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Rod Harper","WR","PHI","2022",7,7,"ppr","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Nate Hughes","WR","JAC","2022",7,7,"ppr","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"302","Mike Furrey","WR","WAS","2022",7,7,"ppr","302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"303","Sam Giguere","WR","NYG","2022",7,7,"ppr","303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Jaydon Mickens","WR","NYG","2022",7,7,"ppr","304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"305","Corey Davis","WR","NYJ","2022",7,7,"ppr","305","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","17.1%"
"306","Marken Michel","WR","WAS","2022",7,7,"ppr","306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
