"","player","pos","team","season","start_week","end_week","scoring","rank","rushing_att","rushing_yds","rushing_y_a","rushing_lg","rushing_20","rushing_td","receiving_rec","receiving_tgt","receiving_yds","receiving_y_r","receiving_td","fl","g","fpts","fpts_g","rost"
"58","James Develin","RB","FA","2018",6,6,"ppr","58","0","0","0","0","0","0","2","2","3","1.5","0","0","1","2.3","2.3","0.0%"
"59","Royce Freeman","RB","HOU","2018",6,6,"ppr","59","9","22","2.4","7","0","0","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"60","Justin Jackson","RB","DET","2018",6,6,"ppr","60","3","4","1.3","4","0","0","1","1","8","8.0","0","0","1","2.2","2.2","1.1%"
"61","Mike Boone","RB","DEN","2018",6,6,"ppr","61","1","20","20.0","20","1","0","0","0","0","0","0","0","1","2.0","2.0","5.3%"
"62","Jamaal Charles","RB","FA","2018",6,6,"ppr","62","5","5","1.0","5","0","0","1","2","5","5.0","0","0","1","2.0","2.0","0.1%"
"63","Chris Ivory","RB","FA","2018",6,6,"ppr","63","6","5","0.8","6","0","0","1","1","4","4.0","0","0","1","1.9","1.9","0.0%"
"64","Doug Martin","RB","FA","2018",6,6,"ppr","64","0","0","0","0","0","0","1","1","8","8.0","0","0","1","1.8","1.8","0.0%"
"65","Kenjon Barner","RB","FA","2018",6,6,"ppr","65","3","16","5.3","10","0","0","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"66","Jamize Olawale","RB","FA","2018",6,6,"ppr","66","0","0","0","0","0","0","1","1","3","3.0","0","0","1","1.3","1.3","0.0%"
"67","Samaje Perine","RB","CIN","2018",6,6,"ppr","67","1","3","3.0","3","0","0","1","1","-3","-3.0","0","0","1","1.0","1.0","59.4%"
"68","Benny Cunningham Jr.","RB","FA","2018",6,6,"ppr","68","3","8","2.7","4","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
