"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Michael Crabtree","WR","OAK","7","6","3","-","8","10","7","10","4","-","11","0","-","13","17","3","2","101","7.2"
"Jack Doyle","TE","IND","3","8","5","7","-","11","7","14","9","5","bye","8","5","3","8","10","5","108","7.2"
"Brandin Cooks","WR","NE","7","4","7","6","8","9","5","8","bye","11","9","7","3","7","7","5","11","114","7.1"
"Robbie Anderson","WR","NYJ","8","4","6","6","5","12","5","6","5","7","bye","10","12","6","12","7","3","114","7.1"
"Le'Veon Bell","RB","PIT","6","4","7","6","10","6","3","3","bye","6","11","14","6","10","6","8","-","106","7.1"
"Robert Woods","WR","LAR","5","4","7","6","8","7","7","bye","5","10","11","-","-","-","7","8","-","85","7.1"
"Christian McCaffrey","RB","CAR","7","5","11","6","7","14","9","7","6","7","bye","5","6","4","7","4","8","113","7.1"
"Tyreek Hill","WR","KC","8","6","8","6","6","7","8","6","4","bye","7","11","9","6","6","7","-","105","7.0"
"Jamison Crowder","WR","WAS","7","5","6","1","bye","5","6","13","-","11","8","10","7","6","7","4","7","103","6.9"
"Amari Cooper","WR","OAK","13","5","5","8","2","6","19","10","9","-","7","1","-","1","-","4","6","96","6.9"
"Devin Funchess","WR","CAR","2","6","10","9","8","9","8","6","7","6","bye","12","7","7","4","4","6","111","6.9"
"T.Y. Hilton","WR","IND","7","6","9","6","9","4","8","7","9","4","bye","5","6","4","7","12","6","109","6.8"
"Stefon Diggs","WR","MIN","8","6","11","7","4","-","-","6","bye","5","6","7","5","10","6","8","6","95","6.8"
"Marvin Jones Jr.","WR","DET","2","5","6","5","8","14","bye","11","11","2","7","9","8","4","5","5","5","107","6.7"
"Chris Hogan","WR","NE","5","6","6","9","11","4","6","7","bye","-","-","-","-","5","-","-","-","59","6.6"
"Marquise Goodwin","WR","SF","6","6","5","2","11","5","8","3","8","2","bye","6","8","12","13","6","4","105","6.6"
"Kenny Stills","WR","MIA","bye","5","10","3","2","4","9","10","4","8","8","6","13","4","6","6","7","105","6.6"
"Jermaine Kearse","WR","NYJ","9","5","3","7","4","4","4","5","6","8","bye","11","10","6","5","8","7","102","6.4"
"Mohamed Sanu Sr.","WR","ATL","9","6","6","3","bye","-","10","7","3","5","3","9","5","8","5","6","11","96","6.4"
"Corey Coleman","WR","CLE","6","7","-","-","-","-","-","-","bye","-","11","8","4","6","4","6","6","58","6.4"
"DeSean Jackson","WR","TB","bye","7","7","6","9","6","8","8","4","10","3","11","3","7","1","-","-","90","6.4"
"Cooper Kupp","WR","LAR","6","6","2","7","8","3","10","bye","5","7","7","11","6","7","3","6","-","94","6.3"
"Alvin Kamara","RB","NO","6","7","5","10","bye","3","7","3","7","5","9","6","6","3","7","9","7","100","6.3"
"Randall Cobb","WR","GB","13","9","-","4","5","3","4","bye","5","4","6","4","0","8","14","7","6","92","6.1"
"Jimmy Graham","TE","SEA","8","2","11","6","8","bye","6","5","8","9","11","6","4","2","3","1","6","96","6.0"
"Nelson Agholor","WR","PHI","8","3","3","4","5","7","5","3","4","bye","5","6","12","11","9","7","3","95","5.9"
"Corey Davis","WR","TEN","10","3","-","-","-","-","-","bye","5","10","7","4","4","6","5","9","2","65","5.9"
"Jordan Reed","TE","WAS","8","6","-","5","bye","5","10","1","-","-","-","-","-","-","-","-","-","35","5.8"
"Duke Johnson Jr.","RB","CLE","5","6","7","10","3","5","7","5","bye","6","6","5","4","4","7","7","6","93","5.8"
"Todd Gurley II","RB","LAR","6","4","7","8","4","1","8","bye","3","7","4","7","7","5","3","13","-","87","5.8"
"Danny Amendola","WR","NE","7","-","5","7","8","5","4","6","bye","4","9","4","4","9","4","3","7","86","5.7"
"Allen Hurns","WR","JAC","4","7","3","10","3","3","8","bye","4","9","-","-","-","-","-","-","5","56","5.6"
"JuJu Smith-Schuster","WR","PIT","0","4","6","4","6","3","3","10","bye","7","8","-","5","-","6","7","10","79","5.6"
"John Brown","WR","ARI","9","-","-","7","7","4","4","bye","4","6","6","-","-","-","-","4","4","55","5.5"
"Carlos Hyde","RB","SF","6","6","4","6","1","6","8","9","11","3","bye","13","5","1","2","3","4","88","5.5"
"Eric Ebron","TE","DET","3","5","7","4","4","3","bye","6","4","3","7","4","4","11","7","8","6","86","5.4"
"Chris Thompson","RB","WAS","5","7","7","2","bye","5","5","9","6","7","1","-","-","-","-","-","-","54","5.4"
"Jared Cook","TE","OAK","5","6","6","8","6","3","7","5","9","-","5","5","5","6","4","2","4","86","5.4"
"Greg Olsen","TE","CAR","4","2","-","-","-","-","-","-","-","-","bye","4","-","1","12","6","9","38","5.4"
"Jason Witten","TE","DAL","9","13","4","2","10","bye","4","5","1","7","1","7","5","2","5","9","3","87","5.4"
"Keelan Cole Sr.","WR","JAC","2","3","4","6","1","2","3","bye","5","8","6","7","3","3","9","13","8","83","5.2"
"Melvin Gordon III","RB","LAC","6","8","2","3","8","12","4","2","bye","8","2","3","4","3","8","3","7","83","5.2"
"Adam Humphries","WR","TB","bye","3","10","7","5","7","3","6","2","4","4","6","4","3","5","3","11","83","5.2"
"James White","RB","NE","5","8","1","12","9","7","5","6","bye","3","1","2","6","4","3","-","-","72","5.1"
"Kyle Rudolph","TE","MIN","3","6","2","4","9","9","7","7","bye","7","7","4","5","5","2","1","3","81","5.1"
"Paul Richardson Jr.","WR","SEA","7","5","7","3","5","bye","2","7","3","2","8","7","4","7","7","4","2","80","5.0"
"William Fuller V","WR","HOU","-","-","-","6","3","5","bye","8","8","3","-","-","-","5","5","5","2","50","5.0"
"Benjamin Watson","TE","BAL","1","8","3","6","4","8","5","4","10","bye","1","3","5","1","4","6","10","79","4.9"
"Zay Jones","WR","BUF","4","6","2","5","6","bye","9","5","7","-","7","10","7","0","2","1","3","74","4.9"
"Josh Doctson","WR","WAS","0","1","2","3","bye","3","5","3","5","7","7","4","5","6","4","13","10","78","4.9"
"Albert Wilson","WR","KC","5","3","4","4","3","-","2","1","-","bye","-","7","5","7","2","8","11","62","4.8"
"LeSean McCoy","RB","BUF","6","7","7","3","9","bye","7","7","1","5","1","4","5","0","5","7","3","77","4.8"
"Cameron Brate","TE","TB","bye","3","4","6","9","8","9","5","4","3","3","2","6","1","5","4","5","77","4.8"
"Sammy Watkins","WR","LAR","5","2","7","2","4","4","5","bye","2","3","4","9","4","7","5","7","-","70","4.7"
"Ted Ginn Jr.","WR","NO","5","6","3","2","bye","4","7","4","5","1","6","11","3","2","-","5","6","70","4.7"
"Theo Riddick","RB","DET","7","3","9","2","5","7","bye","2","4","3","2","2","5","10","3","4","3","71","4.4"
"Kenny Golladay","WR","DET","7","3","5","-","-","-","bye","-","-","3","3","4","3","4","5","8","3","48","4.4"
"Tarik Cohen","RB","CHI","12","9","4","4","1","3","3","3","bye","2","6","2","4","2","6","2","8","71","4.4"
"Tyler Lockett","WR","SEA","3","9","3","5","4","bye","7","8","8","2","5","1","2","5","3","2","4","71","4.4"
"Mark Ingram II","RB","NO","5","5","4","8","bye","5","5","6","1","0","4","3","7","5","6","3","4","71","4.4"
"Hunter Henry","TE","LAC","0","7","0","3","8","7","5","2","bye","2","5","5","9","6","3","-","-","62","4.4"
"Vernon Davis","TE","WAS","1","1","5","3","bye","4","4","4","9","11","6","1","2","7","5","3","3","69","4.3"
"Seth Roberts","WR","OAK","1","1","5","5","4","3","6","-","2","-","9","3","6","3","5","6","6","65","4.3"
"Jerick McKinnon","RB","MIN","3","5","2","2","6","6","3","10","bye","2","7","3","5","3","8","2","1","68","4.3"
"Tyrell Williams","WR","LAC","7","4","7","6","2","3","1","6","bye","5","1","3","3","4","7","6","4","69","4.3"
"George Kittle","TE","SF","6","2","3","3","9","8","2","4","5","-","bye","2","3","2","5","3","6","63","4.2"
"Cole Beasley","WR","DAL","5","8","1","6","6","bye","2","3","6","3","4","3","3","5","5","3","-","63","4.2"
"Ryan Grant","WR","WAS","6","2","4","3","bye","5","3","7","3","3","3","2","9","1","3","6","5","65","4.1"
"Austin Hooper","TE","ATL","2","2","2","7","bye","9","1","6","6","6","2","5","4","4","2","4","3","65","4.1"
"Travis Benjamin","WR","LAC","4","3","8","5","3","1","1","9","bye","3","1","3","6","4","4","5","5","65","4.1"
"T.J. Yeldon","RB","JAC","-","-","-","-","-","-","2","bye","4","8","2","6","2","0","5","10","2","41","4.1"
"Darren Sproles","RB","PHI","8","4","0","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","12","4.0"
"Kevin White","WR","CHI","4","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","4","4.0"
"Trent Taylor","WR","SF","1","4","4","10","2","5","5","3","3","-","bye","3","6","3","5","4","2","60","4.0"
"Dalvin Cook","RB","MIN","5","3","5","3","-","-","-","-","bye","-","-","-","-","-","-","-","-","16","4.0"
"D.J. Foster","RB","ARI","-","-","-","-","-","-","-","bye","-","-","2","4","5","2","9","3","3","28","4.0"
"Kareem Hunt","RB","KC","5","3","1","4","4","6","4","5","5","bye","4","1","5","3","9","4","0","63","3.9"
"Tyler Kroft","TE","CIN","1","0","4","7","5","bye","4","6","2","6","3","4","2","1","4","5","8","62","3.9"
"Jesse James","TE","PIT","8","5","4","3","5","0","0","3","bye","2","8","4","1","12","5","1","2","63","3.9"
"Donte Moncrief","WR","IND","4","8","3","3","3","7","4","1","2","1","bye","3","8","-","-","-","-","47","3.9"
"Ty Montgomery","RB","GB","4","7","12","0","-","3","2","bye","1","2","-","-","-","-","-","-","-","31","3.9"
"J.J. Nelson","WR","ARI","6","7","3","4","6","1","5","bye","2","4","3","4","8","3","3","1","1","61","3.8"
"Giovani Bernard","RB","CIN","2","4","2","4","2","bye","3","2","1","5","2","1","3","8","5","7","9","60","3.8"
"David Njoku","TE","CLE","2","4","4","2","3","5","5","7","bye","6","1","4","6","2","3","3","3","60","3.8"
"Ezekiel Elliott","RB","DAL","5","5","4","5","2","bye","3","2","0","-","-","-","-","-","-","7","5","38","3.8"
"Ryan Griffin","TE","HOU","1","-","6","5","4","8","bye","2","0","-","-","-","-","-","-","-","-","26","3.7"
"Leonard Fournette","RB","JAC","3","5","4","5","1","2","-","bye","-","4","3","3","4","6","-","3","5","48","3.7"
"Dontrelle Inman","WR","CHI","-","2","1","1","0","-","-","-","bye","8","5","9","2","0","2","4","10","44","3.7"
"Wayne Gallman Jr.","RB","NYG","-","-","-","2","5","3","3","bye","1","1","4","2","1","9","7","8","2","48","3.7"
"Rex Burkhead","RB","NE","3","4","-","-","-","-","1","7","bye","3","6","2","4","5","1","-","-","36","3.6"
"Jordan Matthews","WR","BUF","3","3","5","2","-","bye","3","4","8","2","-","3","3","-","-","-","-","36","3.6"
"Seth DeValve","TE","CLE","5","4","5","4","4","3","4","3","bye","6","3","2","3","3","4","4","1","58","3.6"
"Stephen Anderson","TE","HOU","5","-","3","2","2","2","bye","2","6","3","3","0","12","6","3","1","2","52","3.5"
"Bennie Fowler III","WR","DEN","4","3","7","2","bye","8","5","6","2","1","1","4","4","0","0","3","6","56","3.5"
"J.D. McKissic","RB","SEA","-","-","-","1","5","bye","2","2","3","5","6","7","3","5","4","0","3","46","3.5"
"DeAndrew White","WR","HOU","-","-","-","-","-","-","bye","-","-","-","-","-","-","6","1","-","-","7","3.5"
"Devonta Freeman","RB","ATL","2","2","3","2","bye","4","3","3","5","0","-","-","2","0","7","3","11","47","3.4"
"Chris Godwin","WR","TB","bye","2","3","0","2","1","1","2","1","10","2","2","3","6","2","6","12","55","3.4"
"Chester Rogers","WR","IND","-","-","-","-","-","0","2","2","2","6","bye","4","6","4","3","4","4","37","3.4"
"Rashard Higgins","WR","CLE","-","11","6","4","4","2","3","1","bye","4","2","3","0","1","2","3","4","50","3.3"
"Chris Conley","WR","KC","4","4","1","4","3","-","-","-","-","bye","-","-","-","-","-","-","-","16","3.2"
"Tyler Boyd","WR","CIN","4","-","1","2","2","bye","-","-","-","-","1","2","3","4","-","6","7","32","3.2"
"Breshad Perriman","WR","BAL","4","4","1","4","3","2","-","2","7","bye","-","2","-","-","2","4","-","35","3.2"
"Taylor Gabriel","WR","ATL","4","3","6","5","bye","8","2","1","4","3","2","3","2","1","2","4","1","51","3.2"
"Kendrick Bourne","WR","SF","0","-","-","-","-","-","2","2","6","3","bye","2","1","2","6","5","5","34","3.1"
"Marcedes Lewis","TE","JAC","2","2","5","4","2","2","3","bye","6","5","2","2","5","2","2","1","3","48","3.0"
"DeAndre Washington","RB","OAK","2","3","6","1","-","1","4","10","1","-","3","3","0","2","3","3","3","45","3.0"
"Kyle Juszczyk","RB","SF","4","0","1","3","4","-","-","0","2","6","bye","2","3","4","4","5","4","42","3.0"
"Kenyan Drake","RB","MIA","bye","0","2","3","0","0","0","1","6","2","2","4","5","6","11","3","3","48","3.0"
"Mike Davis","RB","SEA","-","-","-","-","-","bye","-","-","-","-","2","-","4","2","2","5","3","18","3.0"
"Chris Moore","WR","BAL","0","-","1","-","-","7","8","0","4","bye","0","3","4","3","3","2","3","38","2.9"
"Curtis Samuel","WR","CAR","0","3","5","-","2","0","1","3","5","7","bye","-","-","-","-","-","-","26","2.9"
"Devontae Booker","RB","DEN","-","-","-","0","bye","6","4","3","3","1","6","2","1","2","1","8","1","38","2.9"
"Lamar Miller","RB","HOU","2","3","1","5","3","4","bye","3","4","1","5","3","4","2","4","1","0","45","2.8"
"Tyler Ervin","RB","HOU","5","5","1","0","-","-","bye","-","-","-","-","-","-","-","-","-","-","11","2.8"
"Tyler Higbee","TE","LAR","3","1","3","6","8","3","3","bye","2","4","5","3","1","0","1","2","0","45","2.8"
"O.J. Howard","TE","TB","bye","3","1","4","1","3","6","2","2","0","4","4","2","6","1","-","-","39","2.8"
"Ricky Seals-Jones","TE","ARI","-","-","0","0","1","-","-","bye","-","-","5","6","5","3","6","1","1","28","2.8"
"Tevin Coleman","RB","ATL","6","2","5","6","bye","1","1","1","2","1","2","0","6","0","-","4","2","39","2.6"
"Cordarrelle Patterson","RB","OAK","1","1","2","6","1","1","3","4","0","-","4","4","4","6","2","2","1","42","2.6"
"Geronimo Allison","WR","GB","-","5","8","0","2","2","2","bye","1","0","0","0","1","4","8","3","3","39","2.6"
"Ameer Abdullah","RB","DET","4","0","3","4","1","2","bye","3","1","2","2","5","-","-","4","2","2","35","2.5"
"Tyler Eifert","TE","CIN","1","4","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","5","2.5"
"Nick Boyle","TE","BAL","1","1","2","5","2","3","3","4","-","bye","2","1","3","1","2","4","3","37","2.5"
"Damien Williams","RB","MIA","bye","0","1","2","2","3","3","2","6","3","1","5","-","-","-","-","-","28","2.5"
"Joe Mixon","RB","CIN","3","1","3","4","0","bye","3","3","4","3","2","3","1","-","-","3","1","34","2.4"
"Vance McDonald","TE","PIT","1","-","0","1","2","2","3","-","bye","2","-","-","-","6","-","5","2","24","2.4"
"Frank Gore","RB","IND","1","2","1","3","4","3","0","4","4","1","bye","5","0","1","4","2","3","38","2.4"
"Marlon Mack","RB","IND","1","1","-","-","1","2","6","5","0","4","bye","2","2","3","1","2","3","33","2.4"
"Demarcus Robinson","WR","KC","0","0","2","0","1","5","8","1","2","bye","3","4","3","0","0","0","10","39","2.4"
"Alex Collins","RB","BAL","-","0","0","2","0","0","0","2","1","bye","7","2","2","2","8","4","6","36","2.4"
"Jay Ajayi","RB","PHI","-","2","3","1","3","3","4","4","0","bye","1","2","4","2","2","3","-","34","2.4"
"Wendell Smallwood","RB","PHI","1","2","2","6","-","-","2","2","0","bye","-","-","-","-","-","-","3","18","2.3"
"Jalen Richard","RB","OAK","1","2","1","1","2","4","4","7","1","-","3","2","3","0","2","2","1","36","2.3"
"Matt Breida","RB","SF","0","2","4","3","5","4","1","6","4","2","bye","1","1","0","0","1","2","36","2.3"
"Mike Williams","WR","LAC","-","-","-","-","-","1","2","2","bye","2","8","0","-","3","1","3","1","23","2.3"
"Dion Lewis","RB","NE","0","1","3","1","2","0","1","2","bye","0","4","2","0","5","2","5","7","35","2.2"
"Demetrius Harris","TE","KC","2","0","0","3","3","2","3","2","1","bye","1","2","0","3","2","7","4","35","2.2"
"Lance Kendricks","TE","GB","4","0","3","1","1","0","0","bye","3","2","4","0","1","5","2","9","0","35","2.2"
"C.J. Prosise","RB","SEA","0","6","5","-","-","bye","0","-","-","0","-","-","-","-","-","-","-","11","2.2"
"Laquon Treadwell","WR","MIN","1","6","1","2","0","3","4","4","bye","1","3","0","1","4","0","2","3","35","2.2"
"Austin Ekeler","RB","LAC","2","0","1","2","6","2","4","1","bye","5","2","3","3","3","1","0","0","35","2.2"
"Nick O'Leary","TE","BUF","2","0","1","0","6","bye","2","3","5","2","3","2","-","1","2","1","2","32","2.1"
"Trey Burton","TE","PHI","0","1","3","0","2","1","1","2","4","bye","0","-","7","6","2","0","2","31","2.1"
"Marshawn Lynch","RB","OAK","2","2","1","1","2","2","0","-","2","-","1","3","3","2","4","3","3","31","2.1"
"Jamaal Williams","RB","GB","0","1","0","1","0","0","0","bye","2","1","6","5","3","7","0","3","5","34","2.1"
"Damiere Byrd","WR","CAR","1","1","1","1","-","-","-","-","-","-","bye","-","2","5","4","2","-","17","2.1"
"Russell Shepard","WR","CAR","2","2","1","1","2","6","3","1","2","7","bye","0","5","0","0","-","0","32","2.1"
"Garrett Celek","TE","SF","0","1","2","0","1","2","1","2","4","6","bye","2","4","4","3","0","1","33","2.1"
"Jordan Howard","RB","CHI","5","1","5","4","0","1","0","5","bye","0","0","2","2","2","4","0","1","32","2.0"
"Gerald Everett","TE","LAR","1","3","0","3","3","3","0","bye","2","2","2","1","4","1","1","0","6","32","2.0"
"Chris Carson","RB","SEA","1","2","2","3","-","bye","-","-","-","-","-","-","-","-","-","-","-","8","2.0"
"Jonnu Smith","TE","TEN","1","3","2","0","5","1","4","bye","1","5","1","0","1","0","1","2","3","30","1.9"
"Adrian Peterson","RB","ARI","1","0","2","0","-","0","4","bye","4","2","1","5","-","-","-","-","-","19","1.9"
"Taywan Taylor","WR","TEN","2","1","3","1","1","4","4","bye","2","3","1","2","2","1","0","1","0","28","1.8"
"Justin Hardy","WR","ATL","0","2","0","6","bye","3","2","0","2","2","4","0","0","0","4","1","3","29","1.8"
"Maxx Williams","TE","BAL","1","4","-","-","-","1","-","-","3","bye","2","1","2","0","1","3","0","18","1.6"
"Darren Fells","TE","DET","0","1","1","5","2","4","bye","3","1","1","1","3","2","1","0","0","1","26","1.6"
"Elijah McGuire","RB","NYJ","0","2","0","2","3","0","0","0","1","7","bye","1","0","0","3","1","6","26","1.6"
"James O'Shaughnessy","TE","JAC","1","0","1","1","1","3","1","bye","1","0","1","2","1","1","2","6","2","24","1.5"
"Josh Reynolds","WR","LAR","0","1","0","0","0","0","0","bye","1","0","1","6","6","2","0","1","6","24","1.5"
"Samaje Perine","RB","WAS","0","1","1","0","bye","3","0","0","0","1","2","4","3","4","2","3","0","24","1.5"
"Rod Smith","RB","DAL","0","0","0","0","1","bye","2","0","0","6","0","2","1","5","3","3","-","23","1.5"
"Aaron Jones","RB","GB","-","0","0","0","1","4","5","bye","5","1","-","-","0","0","2","0","-","18","1.5"
"Tanner Gentry","WR","CHI","-","3","-","-","-","1","1","1","bye","-","-","-","-","-","-","-","-","6","1.5"
"Willie Snead IV","WR","NO","-","-","-","-","bye","3","-","0","0","0","2","1","2","2","3","3","0","16","1.5"
"Josh Malone","WR","CIN","-","-","-","-","-","bye","1","3","4","1","0","1","2","1","3","1","0","17","1.5"
"Mack Hollins","WR","PHI","0","3","0","0","0","2","1","3","1","bye","1","2","1","2","1","0","5","22","1.4"
"Tavon Austin","WR","LAR","1","2","0","2","5","0","2","bye","0","0","0","4","1","0","0","0","5","22","1.4"
"Luke Willson","TE","SEA","1","3","4","1","1","bye","1","1","2","0","2","0","0","1","2","2","1","22","1.4"
"Virgil Green","TE","DEN","1","3","3","0","bye","1","2","2","0","0","4","3","1","0","1","0","1","22","1.4"
"Daniel Brown","TE","CHI","0","0","-","-","0","0","0","1","bye","3","5","3","1","2","4","1","0","20","1.4"
"Josh Hill","TE","NO","0","3","1","0","bye","0","0","4","0","1","1","0","2","3","2","3","2","22","1.4"
"Jakeem Grant Sr.","WR","MIA","bye","0","1","0","2","1","0","2","0","0","0","0","0","4","1","6","5","22","1.4"
"Richard Rodgers","TE","GB","0","4","0","0","1","0","0","bye","2","1","1","3","2","1","4","0","-","19","1.3"
"Phillip Dorsett II","WR","NE","1","3","0","1","0","3","0","0","bye","2","0","1","0","-","1","1","5","18","1.2"
"Pharoh Cooper","WR","LAR","1","0","1","0","4","0","0","bye","1","2","1","2","1","2","0","0","4","19","1.2"
"Isaiah McKenzie","WR","DEN","0","0","0","2","bye","2","-","1","3","0","-","-","0","-","-","2","3","13","1.2"
"Chad Williams","WR","ARI","-","2","1","-","-","-","-","bye","-","-","-","3","1","0","0","-","-","7","1.2"
"Peyton Barber","RB","TB","bye","0","0","0","0","0","0","0","3","0","2","0","4","1","3","2","4","19","1.2"
"Ross Travis","TE","IND","1","1","0","0","2","0","1","2","2","-","3","0","-","2","2","1","0","17","1.1"
"Chad Hansen","WR","NYJ","0","0","-","0","0","0","0","0","0","4","bye","1","3","0","4","1","4","17","1.1"
"Derrick Henry","RB","TEN","0","0","1","0","0","1","3","bye","2","3","0","2","0","0","2","1","2","17","1.1"
"Latavius Murray","RB","MIN","0","0","0","2","2","1","0","1","bye","0","2","1","3","2","1","1","1","17","1.1"
"Adam Shaheen","TE","CHI","0","0","1","0","0","0","0","1","bye","2","4","1","0","5","-","-","-","14","1.1"
"Johnny Holton","WR","OAK","0","0","0","1","0","0","0","0","1","-","2","2","7","4","0","0","1","18","1.1"
"Darrell Daniels","TE","IND","0","0","1","2","4","0","3","0","0","2","bye","-","-","-","-","0","1","13","1.1"
"C.J. Uzomah","TE","CIN","-","-","0","1","2","bye","2","0","1","0","0","0","1","1","4","1","2","15","1.1"
"Marvin Hall","WR","ATL","-","-","-","-","bye","2","-","0","-","2","1","-","2","1","0","1","-","9","1.1"
"Jaydon Mickens","WR","JAC","-","-","-","-","-","-","0","bye","0","2","0","0","0","0","5","4","0","11","1.1"
"Allen Robinson II","WR","JAC","1","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","1","1.0"
"Alex Erickson","WR","CIN","0","6","0","0","1","bye","1","0","1","1","2","1","0","1","2","0","0","16","1.0"
"Malcolm Brown","RB","LAR","0","1","-","1","2","0","1","bye","0","-","-","-","-","0","1","0","5","11","1.0"
"Nick Vannett","TE","SEA","1","0","0","0","2","bye","1","1","0","2","0","4","3","1","0","0","-","15","1.0"
"Tommylee Lewis","WR","NO","3","2","3","2","bye","-","1","0","0","0","0","1","1","2","0","0","0","15","1.0"
"Corey Clement","RB","PHI","0","0","0","0","1","0","1","1","1","bye","0","1","3","3","1","2","1","15","0.9"
"Levine Toilolo","TE","ATL","1","0","0","3","bye","0","0","3","1","1","2","0","2","1","0","0","-","14","0.9"
"Paul Perkins","RB","NYG","3","2","2","2","-","-","-","bye","0","0","-","0","0","0","-","0","1","10","0.9"
"Mike Thomas","WR","LAR","-","-","-","-","-","0","-","bye","-","-","1","0","0","1","0","1","4","7","0.9"
"D'Onta Foreman","RB","HOU","0","0","3","0","1","0","bye","0","1","0","3","-","-","-","-","-","-","8","0.8"
"Eric Tomlinson","TE","NYJ","2","-","-","1","1","1","1","1","2","0","bye","0","0","0","0","0","2","11","0.8"
"Derek Carrier","TE","LAR","2","1","1","0","0","0","1","bye","1","-","-","0","1","0","2","0","2","11","0.8"
"Logan Thomas","TE","BUF","0","0","0","0","2","bye","1","1","3","0","-","-","2","0","0","-","-","9","0.8"
"Marcus Johnson","WR","PHI","0","-","0","1","1","1","1","0","1","bye","0","-","-","-","-","-","3","8","0.8"
"Jerell Adams","TE","NYG","0","1","0","0","1","1","0","bye","0","0","1","0","0","0","0","4","3","11","0.7"
"Lee Smith","TE","OAK","0","1","0","2","0","0","0","3","0","-","0","1","0","0","1","3","0","11","0.7"
"Noah Brown","WR","DAL","-","0","1","0","-","bye","0","0","-","0","1","0","1","2","1","2","1","9","0.7"
"John Ross","WR","CIN","-","0","-","-","-","bye","-","1","-","1","-","-","-","-","-","-","-","2","0.7"
"Jacob Hollister","TE","NE","-","2","1","1","1","0","0","1","bye","0","0","0","1","0","1","2","1","11","0.7"
"JoJo Natson","WR","NYJ","-","-","-","-","-","-","-","-","-","0","bye","1","0","0","2","0","2","5","0.7"
"Patrick DiMarco","RB","BUF","1","1","0","0","0","bye","0","0","0","3","1","0","0","0","2","1","1","10","0.6"
"Alfred Morris","RB","DAL","0","0","-","0","1","bye","1","0","0","0","0","1","1","3","2","-","0","9","0.6"
"James Develin","RB","NE","0","1","0","2","1","0","0","1","bye","2","0","0","0","1","1","0","1","10","0.6"
